# Matter power spectrum P(k) at redshift z=0
# for k=1.06258e-05 to 4.93744 h/Mpc,
# number of wavenumbers equal to 541
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.692898432985e-02       1.116204188057e+04 
       3.709857621164e-02       1.109826270031e+04 
       3.726885624237e-02       1.103467611275e+04 
       3.743984372084e-02       1.097128535947e+04 
       3.761155862192e-02       1.090809091696e+04 
       3.778402162682e-02       1.084509723695e+04 
       3.795725415511e-02       1.078229951764e+04 
       3.813127839861e-02       1.071970136238e+04 
       3.830611735715e-02       1.065731599307e+04 
       3.848179487650e-02       1.059510203037e+04 
       3.865833568845e-02       1.053310132542e+04 
       3.883576545338e-02       1.047129828937e+04 
       3.901411080529e-02       1.040969522121e+04 
       3.919339939965e-02       1.034829119765e+04 
       3.937365996421e-02       1.028708248184e+04 
       3.955492235296e-02       1.022607203909e+04 
       3.973721760349e-02       1.016525869644e+04 
       3.992057799809e-02       1.010464063211e+04 
       4.010503712876e-02       1.004421735050e+04 
       4.029062996651e-02       9.983987216601e+03 
       4.047739293529e-02       9.923950717408e+03 
       4.066536399090e-02       9.864103664070e+03 
       4.085458270527e-02       9.804446740054e+03 
       4.104509035659e-02       9.744977087721e+03 
       4.123693002583e-02       9.685693852815e+03 
       4.143014670000e-02       9.626594150590e+03 
       4.162478738298e-02       9.567674949515e+03 
       4.182090121440e-02       9.508933248025e+03 
       4.201853959734e-02       9.450375139998e+03 
       4.221775633566e-02       9.391987730395e+03 
       4.241860778184e-02       9.333773602540e+03 
       4.262115299620e-02       9.275722264181e+03 
       4.282545391873e-02       9.217840536328e+03 
       4.303157555460e-02       9.160119279136e+03 
       4.323958617473e-02       9.102557213844e+03 
       4.344955753282e-02       9.045148028737e+03 
       4.366156510068e-02       8.987887040073e+03 
       4.387568832338e-02       8.930768663014e+03 
       4.409201089662e-02       8.873794174369e+03 
       4.431062106831e-02       8.816956301386e+03 
       4.453161196721e-02       8.760253294878e+03 
       4.475508196139e-02       8.703676742706e+03 
       4.498113504973e-02       8.647199599731e+03 
       4.520988129040e-02       8.590845870872e+03 
       4.544143727020e-02       8.534602708857e+03 
       4.567592661979e-02       8.478454569985e+03 
       4.591348057996e-02       8.422404279001e+03 
       4.615423862525e-02       8.366436178575e+03 
       4.639834915182e-02       8.310538610009e+03 
       4.664597023767e-02       8.254723123888e+03 
       4.689727048422e-02       8.198956945003e+03 
       4.715242995001e-02       8.143258265313e+03 
       4.741164118855e-02       8.087599294854e+03 
       4.767511040433e-02       8.031967203094e+03 
       4.794305874337e-02       7.976342038387e+03 
       4.821572373710e-02       7.920757942754e+03 
       4.849336092154e-02       7.865147998114e+03 
       4.877624565771e-02       7.809535036915e+03 
       4.906467518305e-02       7.753922611600e+03 
       4.935897092966e-02       7.698243263989e+03 
       4.965948115084e-02       7.642537453963e+03 
       4.996658390560e-02       7.586762754026e+03 
       5.028069045992e-02       7.530880011791e+03 
       5.060224917470e-02       7.474922143403e+03 
       5.093174996444e-02       7.418834710182e+03 
       5.126972942734e-02       7.362641094374e+03 
       5.161677676840e-02       7.306272878688e+03 
       5.197354066272e-02       7.249703246004e+03 
       5.234073723810e-02       7.192941697079e+03 
       5.271915939561e-02       7.135940053482e+03 
       5.310968773643e-02       7.078647387360e+03 
       5.351330342555e-02       7.021058104199e+03 
       5.393110340124e-02       6.963108440329e+03 
       5.436431843882e-02       6.904745738382e+03 
       5.481433470280e-02       6.845932299407e+03 
       5.528271958222e-02       6.786595918752e+03 
       5.577125280816e-02       6.726650289312e+03 
       5.628196411276e-02       6.666053589006e+03 
       5.681717902078e-02       6.604660963072e+03 
       5.737957478409e-02       6.542412175557e+03 
       5.797224899611e-02       6.479134307341e+03 
       5.859880407127e-02       6.414702690057e+03 
       5.926345154941e-02       6.348927938816e+03 
       5.997114105768e-02       6.281609140813e+03 
       6.072771963492e-02       6.212453590578e+03 
       6.154012774431e-02       6.141142767572e+03 
       6.241663811063e-02       6.067254162503e+03 
       6.336714136445e-02       5.990243892473e+03 
       6.440347608749e-02       5.909389038072e+03 
       6.553978602143e-02       5.823757002939e+03 
       6.679285666541e-02       5.732107252438e+03 
       6.818232624823e-02       5.632796704747e+03 
       6.973056976171e-02       5.523643453598e+03 
       7.146191826425e-02       5.401814076230e+03 
       7.340074503186e-02       5.263767844757e+03 
       7.556798329767e-02       5.105518897819e+03 
       7.797613892407e-02       4.923279633374e+03 
       8.062404937481e-02       4.714381271385e+03 
       8.349399910996e-02       4.478543138233e+03 
       8.655370016841e-02       4.219428572187e+03 
       8.976300012808e-02       3.944839539998e+03 
       9.308198903495e-02       3.665091461064e+03 
       9.647679233666e-02       3.391328563186e+03 
       9.992173545888e-02       3.133729735573e+03 
       1.033988329734e-01       2.900200555695e+03 
       1.068961338526e-01       2.695757985650e+03 
       1.104059643962e-01       2.522276485245e+03 
       1.139235031877e-01       2.379305860758e+03 
       1.174457615784e-01       2.264285970491e+03 
       1.209709023028e-01       2.172987887215e+03 
       1.244978015568e-01       2.100384106131e+03 
       1.280257739702e-01       2.040961028942e+03 
       1.315544022444e-01       1.989238878852e+03 
       1.350834324930e-01       1.940077200706e+03 
       1.386127102665e-01       1.889261015704e+03 
       1.421421415626e-01       1.833794578765e+03 
       1.456716691063e-01       1.771847485006e+03 
       1.492012579361e-01       1.703089196506e+03 
       1.527308866482e-01       1.628435149424e+03 
       1.562605420820e-01       1.549717149576e+03 
       1.597902160919e-01       1.469338255145e+03 
       1.633199035886e-01       1.389904748652e+03 
       1.668496013484e-01       1.313966041741e+03 
       1.703793072904e-01       1.243541321825e+03 
       1.739090200366e-01       1.180118788386e+03 
       1.774387386445e-01       1.124597876261e+03 
       1.809684624436e-01       1.077167209925e+03 
       1.844981909359e-01       1.037450175840e+03 
       1.880279237345e-01       1.004593922085e+03 
       1.915576605263e-01       9.774429901899e+02 
       1.950874010479e-01       9.545833017779e+02 
       1.986171450719e-01       9.345202810969e+02 
       2.021468923967e-01       9.160880563556e+02 
       2.056766428409e-01       8.977270804775e+02 
       2.092063962393e-01       8.783585191269e+02 
       2.127361524399e-01       8.572579975164e+02 
       2.162659113021e-01       8.341008382856e+02 
       2.197956726953e-01       8.089428336879e+02 
       2.233254364977e-01       7.821224288630e+02 
       2.268552025955e-01       7.542670233241e+02 
       2.303849708821e-01       7.260874822362e+02 
       2.339147412574e-01       6.982706702946e+02 
       2.374445136276e-01       6.714713799956e+02 
       2.409742879042e-01       6.462278416600e+02 
       2.445040640041e-01       6.229481125866e+02 
       2.480338418488e-01       6.018654048692e+02 
       2.515636213643e-01       5.830925682486e+02 
       2.550934024809e-01       5.665997730701e+02 
       2.586231851325e-01       5.521690258694e+02 
       2.621529692566e-01       5.394927140975e+02 
       2.656827547943e-01       5.281825857435e+02 
       2.692125416895e-01       5.178069600709e+02 
       2.727423298892e-01       5.079402099566e+02 
       2.762721193431e-01       4.982127997202e+02 
       2.798019100034e-01       4.883619725166e+02 
       2.833317018247e-01       4.781715015835e+02 
       2.868614947640e-01       4.675294763324e+02 
       2.903912887802e-01       4.564255956334e+02 
       2.939210838342e-01       4.449084346360e+02 
       2.974508798890e-01       4.330986235547e+02 
       3.009806769091e-01       4.211678952468e+02 
