# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   66       2.627824716434e-10       3.470830939143e-14      -5.123723593194e-13       1.197013700710e-16       2.173881773861e-11       2.926325249864e-12      -1.002151122665e-14 
   67       2.665307970485e-10       3.628770324956e-14      -5.643872747226e-13       1.233937630544e-16       2.093836614594e-11       2.845656203383e-12      -1.003028521281e-14 
   68       2.703099451669e-10       3.790265475144e-14      -6.181340868186e-13       1.271421555588e-16       2.017736575485e-11       2.769023690862e-12      -9.978061220768e-15 
   69       2.741205046820e-10       3.955236810876e-14      -6.736187349658e-13       1.309464507047e-16       1.945382091671e-11       2.696094348225e-12      -9.878360721866e-15 
   70       2.779625208463e-10       4.123596401815e-14      -7.308474797699e-13       1.348065459783e-16       1.876483173758e-11       2.626423630114e-12      -9.746685627602e-15 
   71       2.818354611297e-10       4.295247774171e-14      -7.898269765101e-13       1.387223332160e-16       1.810655112097e-11       2.559450667841e-12      -9.600593397049e-15 
   72       2.857387102978e-10       4.470093278682e-14      -8.505587826819e-13       1.426937262978e-16       1.747515447953e-11       2.494638227441e-12      -9.456142241730e-15 
   73       2.896732419997e-10       4.648058258414e-14      -9.130214969098e-13       1.467207504182e-16       1.687005982200e-11       2.431935112364e-12      -9.316269880378e-15 
   74       2.936402074567e-10       4.829071194696e-14      -9.771853083298e-13       1.508034700010e-16       1.629125100915e-11       2.371393639730e-12      -9.180309431746e-15 
   75       2.976404125770e-10       5.013056539222e-14      -1.043017205960e-12       1.549419631143e-16       1.573830035134e-11       2.313030606462e-12      -9.047414032574e-15 
   76       3.016742956915e-10       5.199934694710e-14      -1.110480925054e-12       1.591363220859e-16       1.521034877158e-11       2.256825460034e-12      -8.916549070541e-15 
   77       3.057419052897e-10       5.389621995561e-14      -1.179536893448e-12       1.633866541207e-16       1.470608596864e-11       2.202718469212e-12      -8.786484417207e-15 
   78       3.098428777559e-10       5.582030688512e-14      -1.250142177914e-12       1.676930819165e-16       1.422373058008e-11       2.150608894808e-12      -8.655786660964e-15 
   79       3.139764151044e-10       5.777068913301e-14      -1.322250430511e-12       1.720557442803e-16       1.376101034536e-11       2.100353160417e-12      -8.522811339978e-15 
   80       3.181416939685e-10       5.974637393038e-14      -1.395815445746e-12       1.764747988016e-16       1.331571531219e-11       2.051804896005e-12      -8.386287550435e-15 
   81       3.223392233418e-10       6.174618885964e-14      -1.470802661515e-12       1.809504290488e-16       1.288751173817e-11       2.004947101724e-12      -8.247205780453e-15 
   82       3.265696830909e-10       6.376886857934e-14      -1.547179566903e-12       1.854828397532e-16       1.247640846449e-11       1.959779704585e-12      -8.107245284941e-15 
   83       3.308334995881e-10       6.581308530963e-14      -1.624912281780e-12       1.900722555084e-16       1.208220276916e-11       1.916278686666e-12      -7.968213983424e-15 
   84       3.351308314338e-10       6.787744802947e-14      -1.703965570027e-12       1.947189214246e-16       1.170447114205e-11       1.874395031275e-12      -7.832051662907e-15 
   85       3.394615551783e-10       6.996050167393e-14      -1.784302852748e-12       1.994231037828e-16       1.134256005982e-11       1.834053669126e-12      -7.700833180730e-15 
   86       3.438252510441e-10       7.206072633146e-14      -1.865886221490e-12       2.041850906898e-16       1.099557676096e-11       1.795152424500e-12      -7.576771667431e-15 
   87       3.482211886477e-10       7.417653644115e-14      -1.948676451459e-12       2.090051927322e-16       1.066238002074e-11       1.757560961421e-12      -7.462221729603e-15 
   88       3.526483127219e-10       7.630627999000e-14      -2.032633014742e-12       2.138837436310e-16       1.034157092623e-11       1.721119729822e-12      -7.359682652751e-15 
   89       3.571056194247e-10       7.844829172691e-14      -2.117713495628e-12       2.188210665778e-16       1.003181981032e-11       1.685679352150e-12      -7.271179181958e-15 
   90       3.615933840407e-10       8.060106412100e-14      -2.203871702664e-12       2.238173657646e-16       9.732925937173e-12       1.651228161044e-12      -7.196285562009e-15 
   91       3.661121004564e-10       8.276310186686e-14      -2.291059283421e-12       2.288728189652e-16       9.444907824008e-12       1.617782819653e-12      -7.133795992533e-15 
   92       3.706620994086e-10       8.493287026163e-14      -2.379226300219e-12       2.339876104771e-16       9.167677749600e-12       1.585349220475e-12      -7.082313420583e-15 
   93       3.752435400576e-10       8.710879521147e-14      -2.468321234389e-12       2.391619312619e-16       8.901037565352e-12       1.553922037372e-12      -7.040243418820e-15 
   94       3.798564015612e-10       8.928926323813e-14      -2.558290990534e-12       2.443959790856e-16       8.644674506369e-12       1.523484277587e-12      -7.005788063696e-15 
   95       3.845004746479e-10       9.147262148537e-14      -2.649080900786e-12       2.496899586589e-16       8.398157002541e-12       1.494006833768e-12      -6.976939813632e-15 
   96       3.891753531906e-10       9.365717772555e-14      -2.740634729074e-12       2.550440817776e-16       8.160930489621e-12       1.465448035980e-12      -6.951475387204e-15 
   97       3.938804257801e-10       9.584120036608e-14      -2.832894675374e-12       2.604585674631e-16       7.932313220302e-12       1.437753203725e-12      -6.926949641325e-15 
   98       3.986148672987e-10       9.802291845597e-14      -2.925801379981e-12       2.659336421022e-16       7.711492075302e-12       1.410854197963e-12      -6.900689449423e-15 
   99       4.033778669819e-10       1.002005501901e-13      -3.019294582801e-12       2.714695545182e-16       7.497705525110e-12       1.384685894864e-12      -6.870345842272e-15 
  100       4.081693676772e-10       1.023723930152e-13      -3.113315198611e-12       2.770666233145e-16       7.290831139672e-12       1.359239237872e-12      -6.835652898376e-15 
  101       4.129894161283e-10       1.045367463580e-13      -3.207803545025e-12       2.827251965284e-16       7.090873899763e-12       1.334514902753e-12      -6.796907771745e-15 
  102       4.178379303384e-10       1.066918846135e-13      -3.302698725724e-12       2.884456376165e-16       6.897784574110e-12       1.310506806436e-12      -6.754435291982e-15 
  103       4.227146940108e-10       1.088360574971e-13      -3.397938642659e-12       2.942283257762e-16       6.711457798958e-12       1.287201864144e-12      -6.708588609283e-15 
  104       4.276193509886e-10       1.109674903963e-13      -3.493460008247e-12       3.000736562665e-16       6.531730157648e-12       1.264579746527e-12      -6.659749839440e-15 
  105       4.325513996948e-10       1.130843847230e-13      -3.589198357575e-12       3.059820407301e-16       6.358378260186e-12       1.242612636788e-12      -6.608330708841e-15 
  106       4.375101875725e-10       1.151849182650e-13      -3.685088060598e-12       3.119539075138e-16       6.191116822814e-12       1.221264987814e-12      -6.554773199474e-15 
  107       4.424949055248e-10       1.172672455381e-13      -3.781062334342e-12       3.179897019905e-16       6.029596747584e-12       1.200493279310e-12      -6.499550193926e-15 
  108       4.475045823551e-10       1.193294981382e-13      -3.877053255100e-12       3.240898868801e-16       5.873403201931e-12       1.180245774923e-12      -6.443166120392e-15 
  109       4.525380792068e-10       1.213697850930e-13      -3.972991770638e-12       3.302549425713e-16       5.722053698241e-12       1.160462279376e-12      -6.386157597666e-15 
  110       4.575943078821e-10       1.233862389208e-13      -4.068808520301e-12       3.364853784497e-16       5.575104942196e-12       1.141088446692e-12      -6.329004899486e-15 
  111       4.626729294808e-10       1.253771597503e-13      -4.164436388451e-12       3.427817678438e-16       5.432493039544e-12       1.122121307124e-12      -6.271852085791e-15 
  112       4.677737351827e-10       1.273408903894e-13      -4.259808302169e-12       3.491447181735e-16       5.294233437020e-12       1.103569139274e-12      -6.214752094786e-15 
  113       4.728964270411e-10       1.292757730593e-13      -4.354856472463e-12       3.555748607673e-16       5.160315203907e-12       1.085437341120e-12      -6.157752493032e-15 
  114       4.780406146225e-10       1.311801501955e-13      -4.449512414415e-12       3.620728512916e-16       5.030700180589e-12       1.067728330154e-12      -6.100895243981e-15 
  115       4.832058116478e-10       1.330523652493e-13      -4.543706967316e-12       3.686393701804e-16       4.905322127105e-12       1.050441443520e-12      -6.044216476507e-15 
  116       4.883914326318e-10       1.348907634883e-13      -4.637370314808e-12       3.752751230643e-16       4.784085871700e-12       1.033572838151e-12      -5.987746253443e-15 
  117       4.935967895241e-10       1.366936927981e-13      -4.730432005028e-12       3.819808412006e-16       4.666866459380e-12       1.017115390912e-12      -5.931508340109e-15 
  118       4.988210883493e-10       1.384595044833e-13      -4.822820970743e-12       3.887572819023e-16       4.553508300462e-12       1.001058598732e-12      -5.875519972852e-15 
  119       5.040634258472e-10       1.401865540685e-13      -4.914465549496e-12       3.956052289679e-16       4.443824319128e-12       9.853884787482e-13      -5.819791627576e-15 
  120       5.093227861134e-10       1.418732020996e-13      -5.005293503741e-12       4.025254931107e-16       4.337595101977e-12       9.700874684410e-13      -5.764326788274e-15 
  121       5.145980372393e-10       1.435178149449e-13      -5.095232040989e-12       4.095189123885e-16       4.234568046579e-12       9.551343257734e-13      -5.709121715565e-15 
  122       5.198879279529e-10       1.451187655960e-13      -5.184207833945e-12       4.165863526327e-16       4.134456510026e-12       9.405040293296e-13      -5.654165215225e-15 
  123       5.251912453283e-10       1.466744811528e-13      -5.272147771175e-12       4.237286477163e-16       4.037000675614e-12       9.261736103955e-13      -5.599439701747e-15 
  124       5.305073155871e-10       1.481835897460e-13      -5.358981263852e-12       4.309464116707e-16       3.942159884160e-12       9.121406205583e-13      -5.544925020411e-15 
  125       5.358355547661e-10       1.496447920815e-13      -5.444638243203e-12       4.382402056935e-16       3.849940896331e-12       8.984066073818e-13      -5.490594630126e-15 
  126       5.411753107308e-10       1.510568174255e-13      -5.529048479343e-12       4.456105963333e-16       3.760337791476e-12       8.849713198484e-13      -5.436414128734e-15 
  127       5.465258610824e-10       1.524184247725e-13      -5.612141607162e-12       4.530581554463e-16       3.673331601761e-12       8.718326551697e-13      -5.382341031731e-15 
  128       5.518864110659e-10       1.537284040143e-13      -5.693847152213e-12       4.605834601522e-16       3.588889946311e-12       8.589866055959e-13      -5.328324550993e-15 
  129       5.572560914771e-10       1.549855771078e-13      -5.774094556601e-12       4.681870927901e-16       3.506966665348e-12       8.464272052258e-13      -5.274305373491e-15 
  130       5.626339565709e-10       1.561887992441e-13      -5.852813204873e-12       4.758696408754e-16       3.427501454333e-12       8.341464768167e-13      -5.220215440023e-15 
  131       5.680189819684e-10       1.573369600164e-13      -5.929932449900e-12       4.836316970552e-16       3.350419498105e-12       8.221343785944e-13      -5.165977723929e-15 
  132       5.734100625648e-10       1.584289845889e-13      -6.005381638773e-12       4.914738590647e-16       3.275631105018e-12       8.103787510629e-13      -5.111506009816e-15 
  133       5.788060104369e-10       1.594638348646e-13      -6.079090138686e-12       4.993967296836e-16       3.203031341086e-12       7.988652638140e-13      -5.056704672283e-15 
  134       5.842055527507e-10       1.604405106545e-13      -6.150987362826e-12       5.074009166917e-16       3.132499664119e-12       7.875773623380e-13      -5.001468454640e-15 
  135       5.896073296690e-10       1.613580508455e-13      -6.221002796259e-12       5.154870328255e-16       3.063899557862e-12       7.764962148327e-13      -4.945682247632e-15 
  136       5.950098922592e-10       1.622155345689e-13      -6.289066021824e-12       5.236556957344e-16       2.997078166141e-12       7.656006590137e-13      -4.889220868160e-15 
  137       6.004118401360e-10       1.630121213831e-13      -6.355107543071e-12       5.319075453915e-16       2.931898191246e-12       7.548721922947e-13      -4.831985460527e-15 
  138       6.058122548939e-10       1.637471740398e-13      -6.419061294414e-12       5.402432984547e-16       2.868338088923e-12       7.443106377155e-13      -4.774017419792e-15 
  139       6.112103077677e-10       1.644201506957e-13      -6.480862441022e-12       5.486636994740e-16       2.806401596063e-12       7.339200058073e-13      -4.715395892441e-15 
  140       6.166051227273e-10       1.650305684417e-13      -6.540446635730e-12       5.571695040076e-16       2.746086237157e-12       7.237035756945e-13      -4.656202222681e-15 
  141       6.219957752717e-10       1.655780047189e-13      -6.597750049986e-12       5.657614786887e-16       2.687383163225e-12       7.136638739161e-13      -4.596519963621e-15 
  142       6.273812912242e-10       1.660620987344e-13      -6.652709404798e-12       5.744404012926e-16       2.630276990744e-12       7.038026532464e-13      -4.536434888436e-15 
  143       6.327606455266e-10       1.664825528775e-13      -6.705262001681e-12       5.832070608031e-16       2.574745640573e-12       6.941208715163e-13      -4.476035001547e-15 
  144       6.381327610338e-10       1.668391341360e-13      -6.755345753606e-12       5.920622574803e-16       2.520760176884e-12       6.846186704344e-13      -4.415410549790e-15 
  145       6.434965073082e-10       1.671316755119e-13      -6.802899215945e-12       6.010068029267e-16       2.468284646084e-12       6.752953544081e-13      -4.354654033589e-15 
  146       6.488506994145e-10       1.673600774375e-13      -6.847861617419e-12       6.100415201548e-16       2.417275915744e-12       6.661493693649e-13      -4.293860218127e-15 
  147       6.541940967141e-10       1.675243091920e-13      -6.890172891045e-12       6.191672436536e-16       2.367683513530e-12       6.571782815730e-13      -4.233126144524e-15 
  148       6.595254016595e-10       1.676244103167e-13      -6.929773705086e-12       6.283848194557e-16       2.319449466125e-12       6.483787564631e-13      -4.172551141004e-15 
  149       6.648432585894e-10       1.676604920319e-13      -6.966605493992e-12       6.376951052042e-16       2.272508138159e-12       6.397465374488e-13      -4.112236834071e-15 
  150       6.701462525223e-10       1.676327386523e-13      -7.000610489356e-12       6.470989702197e-16       2.226786071135e-12       6.312764247484e-13      -4.052287159679e-15 
  151       6.754329079519e-10       1.675414090035e-13      -7.031731750852e-12       6.565972955671e-16       2.182201822356e-12       6.229622542053e-13      -3.992808374407e-15 
  152       6.807016876412e-10       1.673868378380e-13      -7.059913197192e-12       6.661909741228e-16       2.138665803855e-12       6.147968761098e-13      -3.933909066631e-15 
  153       6.859511050663e-10       1.671694510891e-13      -7.085100172876e-12       6.758808432155e-16       2.096098523093e-12       6.067736459662e-13      -3.875677439270e-15 
  154       6.911800760431e-10       1.668898102496e-13      -7.107241142625e-12       6.856674753651e-16       2.054487551591e-12       5.988910972655e-13      -3.818110758848e-15 
  155       6.963875976334e-10       1.665485748367e-13      -7.126286214163e-12       6.955513681330e-16       2.013835568342e-12       5.911486646282e-13      -3.761179340410e-15 
  156       7.015726368115e-10       1.661464903987e-13      -7.142186649956e-12       7.055330095258e-16       1.974142367087e-12       5.835451975226e-13      -3.704848582942e-15 
  157       7.067341298377e-10       1.656843900019e-13      -7.154894900887e-12       7.156128777187e-16       1.935404788966e-12       5.760789467856e-13      -3.649078864795e-15 
  158       7.118709816314e-10       1.651631957165e-13      -7.164364639933e-12       7.257914407789e-16       1.897616655160e-12       5.687475511446e-13      -3.593825439098e-15 
  159       7.169820651446e-10       1.645839201038e-13      -7.170550795837e-12       7.360691563899e-16       1.860768699539e-12       5.615480237386e-13      -3.539038329180e-15 
  160       7.220662207352e-10       1.639476677021e-13      -7.173409586792e-12       7.464464715739e-16       1.824848501311e-12       5.544767386394e-13      -3.484662223983e-15 
  161       7.271222555404e-10       1.632556365138e-13      -7.172898554109e-12       7.569238224163e-16       1.789840417661e-12       5.475294173734e-13      -3.430636373487e-15 
  162       7.321489428499e-10       1.625091194917e-13      -7.168976595899e-12       7.675016337889e-16       1.755725516408e-12       5.407011154429e-13      -3.376894484120e-15 
  163       7.371450214796e-10       1.617095060256e-13      -7.161604000744e-12       7.781803190733e-16       1.722481508640e-12       5.339862088470e-13      -3.323364614183e-15 
  164       7.421091951444e-10       1.608582834286e-13      -7.150742481379e-12       7.889602798846e-16       1.690082681372e-12       5.273783806034e-13      -3.269969069263e-15 
  165       7.470401318320e-10       1.599570384240e-13      -7.136355208364e-12       7.998419057948e-16       1.658499830182e-12       5.208706072699e-13      -3.216624297653e-15 
  166       7.519364631761e-10       1.590074586316e-13      -7.118406843759e-12       8.108255740566e-16       1.627700191865e-12       5.144551454654e-13      -3.163240785771e-15 
  167       7.567967838298e-10       1.580113340546e-13      -7.096863574807e-12       8.219116493268e-16       1.597647377074e-12       5.081235183913e-13      -3.109722953576e-15 
  168       7.616196508388e-10       1.569705585655e-13      -7.071693147602e-12       8.331004833896e-16       1.568301302972e-12       5.018665023531e-13      -3.055969049989e-15 
  169       7.664035830149e-10       1.558871313932e-13      -7.042864900769e-12       8.443924148808e-16       1.539618125873e-12       4.956741132818e-13      -3.001871048305e-15 
  170       7.711470603093e-10       1.547631586094e-13      -7.010349799141e-12       8.557877690104e-16       1.511550173890e-12       4.895355932549e-13      -2.947314541618e-15 
  171       7.758486228295e-10       1.536008123403e-13      -6.974120432523e-12       8.672868493879e-16       1.484055445728e-12       4.834419870876e-13      -2.892209578116e-15 
  172       7.805071784674e-10       1.524022014738e-13      -6.934150941365e-12       8.788899133098e-16       1.457127136831e-12       4.773941414078e-13      -2.836586271103e-15 
  173       7.851217198400e-10       1.511694929702e-13      -6.890417149394e-12       8.905971938715e-16       1.430766457552e-12       4.713953498298e-13      -2.780506997757e-15 
