# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   86       3.435770608793e-10       7.188254373699e-14      -1.865705495273e-12       0.000000000000e+00       1.099557676096e-11       1.795152424500e-12      -7.576771667431e-15 
   87       3.479697628167e-10       7.399511945295e-14      -1.948541293035e-12       0.000000000000e+00       1.066238002074e-11       1.757560961421e-12      -7.462221729603e-15 
   88       3.523937036634e-10       7.612163105117e-14      -2.032547271086e-12       0.000000000000e+00       1.034157092623e-11       1.721119729822e-12      -7.359682652751e-15 
   89       3.568478800829e-10       7.826041407682e-14      -2.117681148228e-12       0.000000000000e+00       1.003181981032e-11       1.685679352150e-12      -7.271179181958e-15 
   90       3.613325703242e-10       8.040996168253e-14      -2.203896853648e-12       0.000000000000e+00       9.732925937173e-12       1.651228161044e-12      -7.196285562009e-15 
   91       3.658482719874e-10       8.256877918635e-14      -2.291146151522e-12       0.000000000000e+00       9.444907824008e-12       1.617782819653e-12      -7.133795992533e-15 
   92       3.703953196672e-10       8.473533246670e-14      -2.379379220191e-12       0.000000000000e+00       9.167677749600e-12       1.585349220475e-12      -7.082313420583e-15 
   93       3.749738765311e-10       8.690804796732e-14      -2.468544656338e-12       0.000000000000e+00       8.901037565352e-12       1.553922037372e-12      -7.040243418820e-15 
   94       3.795839258961e-10       8.908531270240e-14      -2.558589479168e-12       0.000000000000e+00       8.644674506369e-12       1.523484277587e-12      -7.005788063696e-15 
   95       3.842252628065e-10       9.126547426160e-14      -2.649459134585e-12       0.000000000000e+00       8.398157002541e-12       1.494006833768e-12      -6.976939813632e-15 
   96       3.888974856112e-10       9.344684081514e-14      -2.741097499376e-12       0.000000000000e+00       8.160930489621e-12       1.465448035980e-12      -6.951475387204e-15 
   97       3.935999875411e-10       9.562768111884e-14      -2.833446885388e-12       0.000000000000e+00       7.932313220302e-12       1.437753203725e-12      -6.926949641325e-15 
   98       3.983319482867e-10       9.780622451916e-14      -2.926448043705e-12       0.000000000000e+00       7.711492075302e-12       1.410854197963e-12      -6.900689449423e-15 
   99       4.030925619977e-10       9.998068893401e-14      -3.020040820028e-12       0.000000000000e+00       7.497705525110e-12       1.384685894864e-12      -6.870345842272e-15 
  100       4.078817763373e-10       1.021493693063e-13      -3.114166217686e-12       0.000000000000e+00       7.290831139672e-12       1.359239237872e-12      -6.835652898376e-15 
  101       4.126996429495e-10       1.043105617466e-13      -3.208764635951e-12       0.000000000000e+00       7.090873899763e-12       1.334514902753e-12      -6.796907771745e-15 
  102       4.175460848881e-10       1.064625370152e-13      -3.303775256836e-12       0.000000000000e+00       6.897784574110e-12       1.310506806436e-12      -6.754435291982e-15 
  103       4.224208910605e-10       1.086035408662e-13      -3.399136057167e-12       0.000000000000e+00       6.711457798958e-12       1.287201864144e-12      -6.708588609283e-15 
  104       4.273237106703e-10       1.107317943915e-13      -3.494783820652e-12       0.000000000000e+00       6.531730157648e-12       1.264579746527e-12      -6.659749839440e-15 
  105       4.322540476611e-10       1.128454943652e-13      -3.590654149959e-12       0.000000000000e+00       6.358378260186e-12       1.242612636788e-12      -6.608330708841e-15 
  106       4.372112551590e-10       1.149428135877e-13      -3.686681478782e-12       0.000000000000e+00       6.191116822814e-12       1.221264987814e-12      -6.554773199474e-15 
  107       4.421945299160e-10       1.170219012297e-13      -3.782799083922e-12       0.000000000000e+00       6.029596747584e-12       1.200493279310e-12      -6.499550193926e-15 
  108       4.472029067533e-10       1.190808831764e-13      -3.878939097351e-12       0.000000000000e+00       5.873403201931e-12       1.180245774923e-12      -6.443166120392e-15 
  109       4.522352530042e-10       1.211178623719e-13      -3.975032518292e-12       0.000000000000e+00       5.722053698241e-12       1.160462279376e-12      -6.386157597666e-15 
  110       4.572904860700e-10       1.231309653383e-13      -4.071010034274e-12       0.000000000000e+00       5.575104942196e-12       1.141088446692e-12      -6.329004899486e-15 
  111       4.623682696527e-10       1.251184877622e-13      -4.166804577836e-12       0.000000000000e+00       5.432493039544e-12       1.122121307124e-12      -6.271852085791e-15 
  112       4.674683966404e-10       1.270787682710e-13      -4.262349121142e-12       0.000000000000e+00       5.294233437020e-12       1.103569139274e-12      -6.214752094786e-15 
  113       4.725905706339e-10       1.290101447119e-13      -4.357575916039e-12       0.000000000000e+00       5.160315203907e-12       1.085437341120e-12      -6.157752493032e-15 
  114       4.777344025827e-10       1.309109549500e-13      -4.452416514079e-12       0.000000000000e+00       5.030700180589e-12       1.067728330154e-12      -6.100895243981e-15 
  115       4.828994074209e-10       1.327795376663e-13      -4.546801786542e-12       0.000000000000e+00       4.905322127105e-12       1.050441443520e-12      -6.044216476507e-15 
  116       4.880850007030e-10       1.346142331554e-13      -4.640661944461e-12       0.000000000000e+00       4.784085871700e-12       1.033572838151e-12      -5.987746253443e-15 
  117       4.932904952399e-10       1.364133841239e-13      -4.733926558645e-12       0.000000000000e+00       4.666866459380e-12       1.017115390912e-12      -5.931508340109e-15 
  118       4.985150977349e-10       1.381753364880e-13      -4.826524579701e-12       0.000000000000e+00       4.553508300462e-12       1.001058598732e-12      -5.875519972852e-15 
  119       5.037579054192e-10       1.398984401717e-13      -4.918384358059e-12       0.000000000000e+00       4.443824319128e-12       9.853884787482e-13      -5.819791627576e-15 
  120       5.090179026884e-10       1.415810499045e-13      -5.009433663997e-12       0.000000000000e+00       4.337595101977e-12       9.700874684410e-13      -5.764326788274e-15 
  121       5.142939577376e-10       1.432215260198e-13      -5.099599707658e-12       0.000000000000e+00       4.234568046579e-12       9.551343257734e-13      -5.709121715565e-15 
  122       5.195848191982e-10       1.448182352524e-13      -5.188809159081e-12       0.000000000000e+00       4.134456510026e-12       9.405040293296e-13      -5.654165215225e-15 
  123       5.248892746679e-10       1.463695980511e-13      -5.276988894480e-12       0.000000000000e+00       4.037000675614e-12       9.261736103955e-13      -5.599439701747e-15 
  124       5.302066540911e-10       1.478742349707e-13      -5.364068289514e-12       0.000000000000e+00       3.942159884160e-12       9.121406205583e-13      -5.544925020411e-15 
  125       5.355363781373e-10       1.493308386799e-13      -5.449977228437e-12       0.000000000000e+00       3.849940896331e-12       8.984066073818e-13      -5.490594630126e-15 
  126       5.408777994171e-10       1.507381301051e-13      -5.534645426907e-12       0.000000000000e+00       3.760337791476e-12       8.849713198484e-13      -5.436414128734e-15 
  127       5.462302003922e-10       1.520948595945e-13      -5.618002457721e-12       0.000000000000e+00       3.673331601761e-12       8.718326551697e-13      -5.382341031731e-15 
  128       5.515927912845e-10       1.533998080820e-13      -5.699977776560e-12       0.000000000000e+00       3.588889946311e-12       8.589866055959e-13      -5.328324550993e-15 
  129       5.569647079861e-10       1.546517882510e-13      -5.780500747716e-12       0.000000000000e+00       3.506966665348e-12       8.464272052258e-13      -5.274305373491e-15 
  130       5.623450099691e-10       1.558496456987e-13      -5.859500669840e-12       0.000000000000e+00       3.427501454333e-12       8.341464768167e-13      -5.220215440023e-15 
  131       5.677326781946e-10       1.569922600996e-13      -5.936906801672e-12       0.000000000000e+00       3.350419498105e-12       8.221343785944e-13      -5.165977723929e-15 
  132       5.731266130233e-10       1.580785463696e-13      -6.012648387782e-12       0.000000000000e+00       3.275631105018e-12       8.103787510629e-13      -5.111506009816e-15 
  133       5.785256321243e-10       1.591074558301e-13      -6.086654684306e-12       0.000000000000e+00       3.203031341086e-12       7.988652638140e-13      -5.056704672283e-15 
  134       5.839284683852e-10       1.600779773717e-13      -6.158854984685e-12       0.000000000000e+00       3.132499664119e-12       7.875773623380e-13      -5.001468454640e-15 
  135       5.893337678217e-10       1.609891386183e-13      -6.229178645401e-12       0.000000000000e+00       3.063899557862e-12       7.764962148327e-13      -4.945682247632e-15 
  136       5.947400874871e-10       1.618400070908e-13      -6.297555111714e-12       0.000000000000e+00       2.997078166141e-12       7.656006590137e-13      -4.889220868160e-15 
  137       6.001460322342e-10       1.626297306591e-13      -6.363914743552e-12       0.000000000000e+00       2.931898191246e-12       7.548721922947e-13      -4.831985460527e-15 
  138       6.055506853966e-10       1.633576611565e-13      -6.428191335139e-12       0.000000000000e+00       2.868338088923e-12       7.443106377155e-13      -4.774017419792e-15 
  139       6.109532189176e-10       1.640232458235e-13      -6.490319906109e-12       0.000000000000e+00       2.806401596063e-12       7.339200058073e-13      -4.715395892441e-15 
  140       6.163527572999e-10       1.646259905670e-13      -6.550235955278e-12       0.000000000000e+00       2.746086237157e-12       7.237035756945e-13      -4.656202222681e-15 
  141       6.217483763959e-10       1.651654613748e-13      -6.607875491461e-12       0.000000000000e+00       2.687383163225e-12       7.136638739161e-13      -4.596519963621e-15 
  142       6.271391021993e-10       1.656412857279e-13      -6.663175064292e-12       0.000000000000e+00       2.630276990744e-12       7.038026532464e-13      -4.536434888436e-15 
  143       6.325239096353e-10       1.660531540146e-13      -6.716071795033e-12       0.000000000000e+00       2.574745640573e-12       6.941208715163e-13      -4.476035001547e-15 
  144       6.379017213524e-10       1.664008209431e-13      -6.766503407396e-12       0.000000000000e+00       2.520760176884e-12       6.846186704344e-13      -4.415410549790e-15 
  145       6.432714065129e-10       1.666841069553e-13      -6.814408258358e-12       0.000000000000e+00       2.468284646084e-12       6.752953544081e-13      -4.354654033589e-15 
  146       6.486317795838e-10       1.669028996399e-13      -6.859725368975e-12       0.000000000000e+00       2.417275915744e-12       6.661493693649e-13      -4.293860218127e-15 
  147       6.539815991281e-10       1.670571551458e-13      -6.902394455202e-12       0.000000000000e+00       2.367683513530e-12       6.571782815730e-13      -4.233126144524e-15 
  148       6.593195665955e-10       1.671468995953e-13      -6.942355958704e-12       0.000000000000e+00       2.319449466125e-12       6.483787564631e-13      -4.172551141004e-15 
  149       6.646443251137e-10       1.671722304974e-13      -6.979551077677e-12       0.000000000000e+00       2.272508138159e-12       6.397465374488e-13      -4.112236834071e-15 
  150       6.699544582790e-10       1.671333181612e-13      -7.013921797661e-12       0.000000000000e+00       2.226786071135e-12       6.312764247484e-13      -4.052287159679e-15 
  151       6.752484889474e-10       1.670304071091e-13      -7.045410922361e-12       0.000000000000e+00       2.182201822356e-12       6.229622542053e-13      -3.992808374407e-15 
  152       6.805248780256e-10       1.668638174902e-13      -7.073962104454e-12       0.000000000000e+00       2.138665803855e-12       6.147968761098e-13      -3.933909066631e-15 
  153       6.857821374528e-10       1.666339609149e-13      -7.099520416803e-12       0.000000000000e+00       2.096098523093e-12       6.067736459662e-13      -3.875677439270e-15 
  154       6.910191835042e-10       1.663413866415e-13      -7.122034060939e-12       0.000000000000e+00       2.054487551591e-12       5.988910972655e-13      -3.818110758848e-15 
  155       6.962350141703e-10       1.659867423963e-13      -7.141452876852e-12       0.000000000000e+00       2.013835568342e-12       5.911486646282e-13      -3.761179340410e-15 
  156       7.014285972948e-10       1.655707618130e-13      -7.157727850157e-12       0.000000000000e+00       1.974142367087e-12       5.835451975226e-13      -3.704848582942e-15 
  157       7.065988699471e-10       1.650942659191e-13      -7.170811145672e-12       0.000000000000e+00       1.935404788966e-12       5.760789467856e-13      -3.649078864795e-15 
  158       7.117447377952e-10       1.645581646226e-13      -7.180656140975e-12       0.000000000000e+00       1.897616655160e-12       5.687475511446e-13      -3.593825439098e-15 
