# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  136       5.734385553441e-10       1.438554091040e-13      -5.894184564439e-12       4.592213341860e-16       2.848519232559e-12       7.690761962237e-13      -4.507225709363e-15 
  137       5.784550707230e-10       1.444543857521e-13      -5.949910621221e-12       4.664800270961e-16       2.786855411233e-12       7.582086707082e-13      -4.452693197516e-15 
  138       5.834644034989e-10       1.449967399192e-13      -6.003516484023e-12       4.738128760386e-16       2.726721519652e-12       7.475093995986e-13      -4.397502340693e-15 
  139       5.884657482156e-10       1.454821025509e-13      -6.054943228385e-12       4.812205025951e-16       2.668121135601e-12       7.369824713983e-13      -4.341726639288e-15 
  140       5.934582572588e-10       1.459101631994e-13      -6.104132574285e-12       4.887035359249e-16       2.611051962440e-12       7.266312389253e-13      -4.285441554042e-15 
  141       5.984410397570e-10       1.462806713800e-13      -6.151026918303e-12       4.962626127881e-16       2.555505676749e-12       7.164582979849e-13      -4.228724514398e-15 
  142       6.034131604817e-10       1.465934379285e-13      -6.195569365788e-12       5.038983775675e-16       2.501467775979e-12       7.064654660405e-13      -4.171654926867e-15 
  143       6.083736387488e-10       1.468483363579e-13      -6.237703763019e-12       5.116114822914e-16       2.448917426096e-12       6.966537608864e-13      -4.114314183384e-15 
  144       6.133214473188e-10       1.470453042154e-13      -6.277374729377e-12       5.194025866558e-16       2.397827309237e-12       6.870233793190e-13      -4.056785669670e-15 
  145       6.182555112979e-10       1.471843444394e-13      -6.314527689503e-12       5.272723580471e-16       2.348163471352e-12       6.775736758089e-13      -3.999154773587e-15 
  146       6.231747070384e-10       1.472655267163e-13      -6.349108905467e-12       5.352214715642e-16       2.299885169853e-12       6.683031411728e-13      -3.941508893503e-15 
  147       6.280778610397e-10       1.472889888376e-13      -6.381065508931e-12       5.432506100412e-16       2.252944721265e-12       6.592093812454e-13      -3.883937446651e-15 
  148       6.329637488491e-10       1.472549380568e-13      -6.410345533316e-12       5.513604640699e-16       2.207287348875e-12       6.502890955509e-13      -3.826531877483e-15 
  149       6.378310939621e-10       1.471636524461e-13      -6.436897945965e-12       5.595517320219e-16       2.162851030376e-12       6.415380559753e-13      -3.769385666038e-15 
  150       6.426785667235e-10       1.470154822539e-13      -6.460672680310e-12       5.678251200712e-16       2.119566345520e-12       6.329510854382e-13      -3.712594336294e-15 
  151       6.475047832281e-10       1.468108512611e-13      -6.481620668035e-12       5.761813422170e-16       2.077356323763e-12       6.245220365643e-13      -3.656255464532e-15 
  152       6.523083042214e-10       1.465502581385e-13      -6.499693871241e-12       5.846211203055e-16       2.036136291916e-12       6.162437703556e-13      -3.600468687697e-15 
  153       6.570877407130e-10       1.462342854005e-13      -6.514845604012e-12       5.931451290660e-16       1.995831123129e-12       6.081096555737e-13      -3.545314910946e-15 
  154       6.618420841753e-10       1.458636243475e-13      -6.527031463037e-12       6.017538254228e-16       1.956429108299e-12       6.001182685719e-13      -3.490791738347e-15 
  155       6.665704050797e-10       1.454390550397e-13      -6.536208545208e-12       6.104476032890e-16       1.917932824142e-12       5.922690916205e-13      -3.436872029300e-15 
  156       6.712717483904e-10       1.449614402922e-13      -6.542335199348e-12       6.192268468719e-16       1.880342118643e-12       5.845610179832e-13      -3.383524063247e-15 
  157       6.759451330090e-10       1.444317270709e-13      -6.545371059852e-12       6.280919304153e-16       1.843654047321e-12       5.769923383332e-13      -3.330711442101e-15 
  158       6.805895512185e-10       1.438509478879e-13      -6.545277080326e-12       6.370432179423e-16       1.807862809505e-12       5.695607271706e-13      -3.278392992662e-15 
  159       6.852039681274e-10       1.432202221975e-13      -6.542015567227e-12       6.460810629974e-16       1.772959684605e-12       5.622632292389e-13      -3.226522669042e-15 
  160       6.897873211143e-10       1.425407577911e-13      -6.535550213498e-12       6.552058083888e-16       1.738932968387e-12       5.550962459417e-13      -3.175049455086e-15 
  161       6.943385192717e-10       1.418138521937e-13      -6.525846132212e-12       6.644177859311e-16       1.705767909243e-12       5.480555217596e-13      -3.123917266796e-15 
  162       6.988564428504e-10       1.410408940589e-13      -6.512869890208e-12       6.737173161875e-16       1.673446644462e-12       5.411361306667e-13      -3.073064854754e-15 
  163       7.033399427038e-10       1.402233645650e-13      -6.496589541728e-12       6.831047082120e-16       1.641948136508e-12       5.343324625477e-13      -3.022425706538e-15 
  164       7.077878397318e-10       1.393628388102e-13      -6.476974662060e-12       6.925802592925e-16       1.611248109287e-12       5.276382096142e-13      -2.971927949153e-15 
  165       7.121989243256e-10       1.384609872084e-13      -6.453996381176e-12       7.021442546923e-16       1.581318984423e-12       5.210463528222e-13      -2.921494251447e-15 
  166       7.165719558113e-10       1.375195768851e-13      -6.427627417368e-12       7.117969673930e-16       1.552129817529e-12       5.145491482879e-13      -2.871041726536e-15 
  167       7.209056618943e-10       1.365404730725e-13      -6.397842110888e-12       7.215386578369e-16       1.523646234480e-12       5.081381137053e-13      -2.820481834225e-15 
  168       7.251987381038e-10       1.355256405057e-13      -6.364616457591e-12       7.313695736692e-16       1.495830367683e-12       5.018040147623e-13      -2.769720283432e-15 
  169       7.294498472366e-10       1.344771448178e-13      -6.327928142568e-12       7.412899494806e-16       1.468640792354e-12       4.955368515579e-13      -2.718656934607e-15 
  170       7.336576188016e-10       1.333971539361e-13      -6.287756573788e-12       7.513000065496e-16       1.442032462787e-12       4.893258450189e-13      -2.667185702158e-15 
  171       7.378207398237e-10       1.322878915177e-13      -6.244082563727e-12       7.613999444725e-16       1.415965694939e-12       4.831620151748e-13      -2.615223013341e-15 
  172       7.419382369153e-10       1.311514899805e-13      -6.196887274041e-12       7.715899158106e-16       1.390434088062e-12       4.770461856642e-13      -2.562796052041e-15 
