# Matter power spectrum P(k) at redshift z=0
# for k=1.06258e-05 to 4.93744 h/Mpc,
# number of wavenumbers equal to 541
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.177678017517e-02       1.357130857283e+04 
       3.193162840970e-02       1.350220147530e+04 
       3.208678277367e-02       1.343320523383e+04 
       3.224225057573e-02       1.336432064837e+04 
       3.239803932729e-02       1.329554969104e+04 
       3.255415674933e-02       1.322690396595e+04 
       3.271061077945e-02       1.315838414134e+04 
       3.286740957923e-02       1.308997786248e+04 
       3.302456154187e-02       1.302170695903e+04 
       3.318207530021e-02       1.295356579116e+04 
       3.333995973504e-02       1.288558231240e+04 
       3.349822398379e-02       1.281769245857e+04 
       3.365687744962e-02       1.274996496508e+04 
       3.381592981088e-02       1.268236684627e+04 
       3.397539103097e-02       1.261494138763e+04 
       3.413527136875e-02       1.254765348861e+04 
       3.429558138925e-02       1.248051546040e+04 
       3.445633197505e-02       1.241353009093e+04 
       3.461753433803e-02       1.234670399435e+04 
       3.477920003175e-02       1.228002993442e+04 
       3.494134096444e-02       1.221352307833e+04 
       3.510396941249e-02       1.214717806784e+04 
       3.526709803469e-02       1.208099925957e+04 
       3.543073988712e-02       1.201498928513e+04 
       3.559490843876e-02       1.194914853703e+04 
       3.575961758788e-02       1.188348125887e+04 
       3.592488167924e-02       1.181798855261e+04 
       3.609071552216e-02       1.175267390995e+04 
       3.625713440948e-02       1.168753556613e+04 
       3.642415413751e-02       1.162257889251e+04 
       3.659179102706e-02       1.155780446142e+04 
       3.676006194546e-02       1.149321404808e+04 
       3.692898432985e-02       1.142880594367e+04 
       3.709857621164e-02       1.136459116787e+04 
       3.726885624237e-02       1.130056180575e+04 
       3.743984372084e-02       1.123672187006e+04 
       3.761155862192e-02       1.117307076842e+04 
       3.778402162682e-02       1.110961457316e+04 
       3.795725415511e-02       1.104634948276e+04 
       3.813127839861e-02       1.098327796861e+04 
       3.830611735715e-02       1.092041464202e+04 
       3.848179487650e-02       1.085771792823e+04 
       3.865833568845e-02       1.079523050211e+04 
       3.883576545338e-02       1.073293762934e+04 
       3.901411080529e-02       1.067084072099e+04 
       3.919339939965e-02       1.060894036341e+04 
       3.937365996421e-02       1.054723233952e+04 
       3.955492235296e-02       1.048572007221e+04 
       3.973721760349e-02       1.042440263953e+04 
       3.992057799809e-02       1.036327887078e+04 
       4.010503712876e-02       1.030234748139e+04 
       4.029062996651e-02       1.024160783497e+04 
       4.047739293529e-02       1.018106033597e+04 
       4.066536399090e-02       1.012070087258e+04 
       4.085458270527e-02       1.006053009957e+04 
       4.104509035659e-02       1.000054560272e+04 
       4.123693002583e-02       9.940746148747e+03 
       4.143014670000e-02       9.881128905839e+03 
       4.162478738298e-02       9.821690861928e+03 
       4.182090121440e-02       9.762429714864e+03 
       4.201853959734e-02       9.703350660470e+03 
       4.221775633566e-02       9.644441027998e+03 
       4.241860778184e-02       9.585703994605e+03 
       4.262115299620e-02       9.527127941022e+03 
       4.282545391873e-02       9.468720724504e+03 
       4.303157555460e-02       9.410473037791e+03 
       4.323958617473e-02       9.352383587986e+03 
       4.344955753282e-02       9.294445843870e+03 
       4.366156510068e-02       9.236654924323e+03 
       4.387568832338e-02       9.179006232181e+03 
       4.409201089662e-02       9.121501090431e+03 
       4.431062106831e-02       9.064131725552e+03 
       4.453161196721e-02       9.006897312413e+03 
       4.475508196139e-02       8.949789331839e+03 
       4.498113504973e-02       8.892780527293e+03 
       4.520988129040e-02       8.835895931010e+03 
       4.544143727020e-02       8.779122057221e+03 
       4.567592661979e-02       8.722444521574e+03 
       4.591348057996e-02       8.665866392133e+03 
       4.615423862525e-02       8.609371881870e+03 
       4.639834915182e-02       8.552949262984e+03 
       4.664597023767e-02       8.496611417822e+03 
       4.689727048422e-02       8.440324440587e+03 
       4.715242995001e-02       8.384107549801e+03 
       4.741164118855e-02       8.327932484057e+03 
       4.767511040433e-02       8.271786493827e+03 
