# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   67       2.665351358734e-10       3.628739290984e-14      -5.643894177477e-13       1.230636213062e-16       2.087617040428e-11       2.869002264364e-12      -1.002804332119e-14 
   68       2.703142029108e-10       3.790233637415e-14      -6.181362198963e-13       1.268018673755e-16       2.011707559746e-11       2.792103265294e-12      -9.975989965278e-15 
   69       2.741246820890e-10       3.955204165025e-14      -6.736207826695e-13       1.305958565049e-16       1.939535858808e-11       2.718907040073e-12      -9.876453532474e-15 
   70       2.779666185191e-10       4.123562945906e-14      -7.308493835373e-13       1.344454857579e-16       1.870812482774e-11       2.648969155139e-12      -9.744938995340e-15 
   71       2.818394794611e-10       4.295213508948e-14      -7.898286971183e-13       1.383506465235e-16       1.805153465213e-11       2.581728664131e-12      -9.599007334917e-15 
   72       2.857426494981e-10       4.470058207136e-14      -8.505602997367e-13       1.423112522034e-16       1.742177092600e-11       2.516648233215e-12      -9.454719680040e-15 
   73       2.896771024438e-10       4.648022383162e-14      -9.130227985080e-13       1.463273274619e-16       1.681825225462e-11       2.453677106574e-12      -9.315012588709e-15 
   74       2.936439897671e-10       4.829034517147e-14      -9.771863888219e-13       1.503989361557e-16       1.624096196507e-11       2.392868109065e-12      -9.179216776880e-15 
   75       2.976441176111e-10       5.013019059376e-14      -1.043018066649e-12       1.545261557527e-16       1.568947279784e-11       2.334238437427e-12      -9.046482754194e-15 
   76       3.016779245278e-10       5.199896410954e-14      -1.110481574913e-12       1.587090779471e-16       1.516292711769e-11       2.277767824389e-12      -8.915773050123e-15 
   77       3.057454592128e-10       5.389582904456e-14      -1.179537349870e-12       1.629478092746e-16       1.466001712463e-11       2.223396702785e-12      -8.785854440122e-15 
   78       3.098463582403e-10       5.581990784573e-14      -1.250142467473e-12       1.672424717276e-16       1.417896506479e-11       2.171024369662e-12      -8.655290171775e-15 
   79       3.139798237976e-10       5.777028188770e-14      -1.322250589757e-12       1.715932033702e-16       1.371750344135e-11       2.120507150394e-12      -8.522432190945e-15 
   80       3.181450326421e-10       5.974595838257e-14      -1.395815519802e-12       1.760001610234e-16       1.327342695596e-11       2.071698566173e-12      -8.386006601629e-15 
   81       3.223424937461e-10       6.174576491675e-14      -1.470802695623e-12       1.804635275039e-16       1.284640225706e-11       2.024581908946e-12      -8.247004239965e-15 
   82       3.265728868875e-10       6.376843615978e-14      -1.547179603830e-12       1.849835067711e-16       1.243643782959e-11       1.979157446588e-12      -8.107105774676e-15 
   83       3.308366383090e-10       6.581264434400e-14      -1.624912361322e-12       1.895603226126e-16       1.204333112010e-11       1.935401422753e-12      -7.968120797715e-15 
   84       3.351339064394e-10       6.787699846185e-14      -1.703965728484e-12       1.941942192977e-16       1.166665933529e-11       1.893264998824e-12      -7.831991036224e-15 
   85       3.394645676136e-10       6.996004346322e-14      -1.784303122388e-12       1.988854622307e-16       1.130577024055e-11       1.852673195866e-12      -7.700793564491e-15 
   86       3.438282017928e-10       7.206025945271e-14      -1.865886629994e-12       2.036343386046e-16       1.095977295846e-11       1.813523836579e-12      -7.576744015910e-15 
   87       3.482240782852e-10       7.417606088697e-14      -1.948677021347e-12       2.084411580545e-16       1.062752876728e-11       1.775686487247e-12      -7.462199794936e-15 
   88       3.526511414660e-10       7.630579577200e-14      -2.032633762780e-12       2.133062533112e-16       1.030764189953e-11       1.739001399692e-12      -7.359663289046e-15 
   89       3.571083871839e-10       7.844779887313e-14      -2.117714433427e-12       2.182299465264e-16       9.998785684480e-12       1.703319008233e-12      -7.271162041438e-15 
   90       3.615960907738e-10       8.060056266047e-14      -2.203872841101e-12       2.232124407693e-16       9.700759665327e-12       1.668627827453e-12      -7.196270838161e-15 
   91       3.661147462667e-10       8.276259182513e-14      -2.291060633799e-12       2.282539126346e-16       9.413582127887e-12       1.634944761404e-12      -7.133783825225e-15 
   92       3.706646845431e-10       8.493235166005e-14      -2.379227874288e-12       2.333545451920e-16       9.137165399396e-12       1.602275890444e-12      -7.082303890834e-15 
   93       3.752460649066e-10       8.710826806655e-14      -2.468323044353e-12       2.385145281265e-16       8.871311670912e-12       1.570616020745e-12      -7.040236543418e-15 
   94       3.798588666575e-10       8.928872756077e-14      -2.558293049070e-12       2.437340578766e-16       8.615708819715e-12       1.539948233817e-12      -7.005783789670e-15 
   95       3.845028806654e-10       9.147207728020e-14      -2.649083221057e-12       2.490133377742e-16       8.369926231703e-12       1.510243436026e-12      -6.976938012585e-15 
   96       3.891777009434e-10       9.365662499015e-14      -2.740637324741e-12       2.543525781835e-16       8.133410623788e-12       1.481459908108e-12      -6.951475849494e-15 
   97       3.938827162208e-10       9.584063909020e-14      -2.832897560617e-12       2.597519966405e-16       7.905481866297e-12       1.453542854686e-12      -6.926952070103e-15 
   98       3.986171015167e-10       9.802234862076e-14      -2.925804569506e-12       2.652118179919e-16       7.685328805368e-12       1.426423953792e-12      -6.900693454527e-15 
   99       4.033800461867e-10       1.001999717676e-13      -3.019298091852e-12       2.707322894601e-16       7.472191753282e-12       1.400037914374e-12      -6.870350957511e-15 
  100       4.081714931338e-10       1.023718059682e-13      -3.113319042939e-12       2.763137279711e-16       7.265948483219e-12       1.374375798546e-12      -6.835658673072e-15 
  101       4.129914891332e-10       1.045361506396e-13      -3.207807740887e-12       2.819564798198e-16       7.066603861016e-12       1.349438450250e-12      -6.796913798323e-15 
  102       4.178399522097e-10       1.066912801666e-13      -3.302703289900e-12       2.876609066589e-16       6.874108691271e-12       1.325219919826e-12      -6.754441211084e-15 
  103       4.227166660777e-10       1.088354442534e-13      -3.397943592456e-12       2.934273858188e-16       6.688357802390e-12       1.301707219682e-12      -6.708594115036e-15 
  104       4.276212745805e-10       1.109668682755e-13      -3.493465361514e-12       2.992563106279e-16       6.509188131622e-12       1.278880079974e-12      -6.659754684851e-15 
  105       4.325532761303e-10       1.130837536320e-13      -3.589204132715e-12       3.051480907327e-16       6.336376810098e-12       1.256710704278e-12      -6.608334711344e-15 
  106       4.375120181476e-10       1.151842780971e-13      -3.685094276576e-12       3.111031524179e-16       6.169639247872e-12       1.235163525267e-12      -6.554776246608e-15 
  107       4.424966915012e-10       1.172665961722e-13      -3.781069010699e-12       3.171219389263e-16       6.008627218959e-12       1.214194960385e-12      -6.499552249160e-15 
  108       4.475063249476e-10       1.193288394379e-13      -3.877060411965e-12       3.232049107797e-16       5.852926946377e-12       1.193753167520e-12      -6.443167229080e-15 
  109       4.525397795708e-10       1.213691169056e-13      -3.972999428739e-12       3.293525460981e-16       5.702057187181e-12       1.173777800685e-12      -6.386157893155e-15 
  110       4.575959671203e-10       1.233855610772e-13      -4.068816700854e-12       3.355653519862e-16       5.555575789758e-12       1.154214378225e-12      -6.329004590370e-15 
  111       4.626745487125e-10       1.253764720662e-13      -4.164445112671e-12       3.418438996605e-16       5.413418973401e-12       1.135060001575e-12      -6.271851383611e-15 
  112       4.677753155582e-10       1.273401926652e-13      -4.259817591109e-12       3.481887944375e-16       5.275602087440e-12       1.116323057492e-12      -6.214751193892e-15 
  113       4.728979697362e-10       1.292750650794e-13      -4.354866346975e-12       3.546006654938e-16       5.142114181244e-12       1.098009028998e-12      -6.157751568700e-15 
