# Matter power spectrum P(k) at redshift z=0
# for k=1.06258e-05 to 4.93744 h/Mpc,
# number of wavenumbers equal to 541
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.559490843876e-02       1.133988358050e+04 
       3.575961758788e-02       1.127873044300e+04 
       3.592488167924e-02       1.121773816221e+04 
       3.609071552216e-02       1.115697046384e+04 
       3.625713440948e-02       1.109635416223e+04 
       3.642415413751e-02       1.103592840527e+04 
       3.659179102706e-02       1.097567280295e+04 
       3.676006194546e-02       1.091558931191e+04 
       3.692898432985e-02       1.085573862454e+04 
       3.709857621164e-02       1.079603149431e+04 
       3.726885624237e-02       1.073656290890e+04 
       3.743984372084e-02       1.067723481491e+04 
       3.761155862192e-02       1.061812719029e+04 
       3.778402162682e-02       1.055916606403e+04 
       3.795725415511e-02       1.050041394607e+04 
       3.813127839861e-02       1.044188479834e+04 
       3.830611735715e-02       1.038350562675e+04 
       3.848179487650e-02       1.032527524213e+04 
       3.865833568845e-02       1.026730643792e+04 
       3.883576545338e-02       1.020951449648e+04 
       3.901411080529e-02       1.015187772966e+04 
       3.919339939965e-02       1.009446413785e+04 
       3.937365996421e-02       1.003722226993e+04 
       3.955492235296e-02       9.980158999877e+03 
       3.973721760349e-02       9.923285423779e+03 
       3.992057799809e-02       9.866591537130e+03 
       4.010503712876e-02       9.810076362353e+03 
       4.029062996651e-02       9.753745343877e+03 
       4.047739293529e-02       9.697637959257e+03 
       4.066536399090e-02       9.641648493774e+03 
       4.085458270527e-02       9.585880940854e+03 
       4.104509035659e-02       9.530258477255e+03 
       4.123693002583e-02       9.474831889756e+03 
       4.143014670000e-02       9.419564856919e+03 
       4.162478738298e-02       9.364467952885e+03 
       4.182090121440e-02       9.309559192271e+03 
       4.201853959734e-02       9.254787584608e+03 
       4.221775633566e-02       9.200165347286e+03 
       4.241860778184e-02       9.145752857683e+03 
       4.262115299620e-02       9.091479447106e+03 
       4.282545391873e-02       9.037349981229e+03 
       4.303157555460e-02       8.983365528659e+03 
       4.323958617473e-02       8.929549822130e+03 
       4.344955753282e-02       8.875869297044e+03 
       4.366156510068e-02       8.822353110492e+03 
       4.387568832338e-02       8.768925475157e+03 
       4.409201089662e-02       8.715655825305e+03 
       4.431062106831e-02       8.662531101068e+03 
       4.453161196721e-02       8.609529917758e+03 
       4.475508196139e-02       8.556589302653e+03 
       4.498113504973e-02       8.503834430843e+03 
       4.520988129040e-02       8.451142128228e+03 
       4.544143727020e-02       8.398596975131e+03 
       4.567592661979e-02       8.346150467361e+03 
       4.591348057996e-02       8.293728446120e+03 
       4.615423862525e-02       8.241448751171e+03 
       4.639834915182e-02       8.189240834621e+03 
       4.664597023767e-02       8.137084243658e+03 
       4.689727048422e-02       8.084985434799e+03 
       4.715242995001e-02       8.032932267660e+03 
       4.741164118855e-02       7.980999381665e+03 
       4.767511040433e-02       7.929032829243e+03 
       4.794305874337e-02       7.877098234977e+03 
       4.821572373710e-02       7.825168685508e+03 
       4.849336092154e-02       7.773300217756e+03 
       4.877624565771e-02       7.721367411626e+03 
       4.906467518305e-02       7.669432542622e+03 
       4.935897092966e-02       7.617465501041e+03 
       4.965948115084e-02       7.565484297715e+03 
       4.996658390560e-02       7.513384919246e+03 
       5.028069045992e-02       7.461231118409e+03 
       5.060224917470e-02       7.408985815395e+03 
       5.093174996444e-02       7.356611331250e+03 
       5.126972942734e-02       7.304105074122e+03 
       5.161677676840e-02       7.251427167465e+03 
       5.197354066272e-02       7.198535408034e+03 
       5.234073723810e-02       7.145487219704e+03 
       5.271915939561e-02       7.092142115036e+03 
       5.310968773643e-02       7.038549619265e+03 
       5.351330342555e-02       6.984629776919e+03 
       5.393110340124e-02       6.930340655603e+03 
       5.436431843882e-02       6.875635787874e+03 
       5.481433470280e-02       6.820480371229e+03 
       5.528271958222e-02       6.764822144833e+03 
       5.577125280816e-02       6.708553030492e+03 
       5.628196411276e-02       6.651614321291e+03 
       5.681717902078e-02       6.593900865611e+03 
       5.737957478409e-02       6.535343828301e+03 
       5.797224899611e-02       6.475769349042e+03 
       5.859880407127e-02       6.415022710101e+03 
       5.926345154941e-02       6.352946284792e+03 
       5.997114105768e-02       6.289291988681e+03 
       6.072771963492e-02       6.223784442600e+03 
       6.154012774431e-02       6.156065305030e+03 
       6.241663811063e-02       6.085689372762e+03 
       6.336714136445e-02       6.012101290025e+03 
       6.440347608749e-02       5.934517719763e+03 
       6.553978602143e-02       5.851987631457e+03 
       6.679285666541e-02       5.763204980495e+03 
       6.818232624823e-02       5.666474637790e+03 
       6.973056976171e-02       5.559567853824e+03 
       7.146191826425e-02       5.439612660884e+03 
       7.340074503186e-02       5.303111432341e+03 
       7.556798329767e-02       5.146153289536e+03 
       7.797613892407e-02       4.965007026869e+03 
       8.062404937481e-02       4.757289705805e+03 
       8.349399910996e-02       4.523322976870e+03 
       8.655370016841e-02       4.267203616684e+03 
       8.976300012808e-02       3.996782683313e+03 
       9.308198903495e-02       3.722443773925e+03 
       9.647679233666e-02       3.455151446532e+03 
       9.992173545888e-02       3.204706552262e+03 
       1.033988329734e-01       2.978460963266e+03 
       1.068961338526e-01       2.780899961479e+03 
       1.104059643962e-01       2.613629558246e+03 
       1.139235031877e-01       2.475769380159e+03 
       1.174457615784e-01       2.364455915734e+03 
       1.209709023028e-01       2.275455447181e+03 
       1.244978015568e-01       2.203663601190e+03 
       1.280257739702e-01       2.143599745578e+03 
       1.315544022444e-01       2.089904677465e+03 
       1.350834324930e-01       2.037742915479e+03 
       1.386127102665e-01       1.983197202555e+03 
       1.421421415626e-01       1.923563364715e+03 
       1.456716691063e-01       1.857478247579e+03 
       1.492012579361e-01       1.784921196476e+03 
       1.527308866482e-01       1.707023695617e+03 
       1.562605420820e-01       1.625774807131e+03 
       1.597902160919e-01       1.543643173380e+03 
       1.633199035886e-01       1.463207577942e+03 
       1.668496013484e-01       1.386836350172e+03 
       1.703793072904e-01       1.316446817505e+03 
       1.739090200366e-01       1.253365351523e+03 
       1.774387386445e-01       1.198268588333e+03 
       1.809684624436e-01       1.151205028603e+03 
       1.844981909359e-01       1.111677417790e+03 
       1.880279237345e-01       1.078739284883e+03 
       1.915576605263e-01       1.051129928290e+03 
       1.950874010479e-01       1.027412863780e+03 
       1.986171450719e-01       1.006126631175e+03 
       2.021468923967e-01       9.860695837296e+02 
       2.056766428409e-01       9.657904203840e+02 
       2.092063962393e-01       9.443235884954e+02 
       2.127361524399e-01       9.210517599997e+02 
       2.162659113021e-01       8.957464914354e+02 
       2.197956726953e-01       8.685554515977e+02 
       2.233254364977e-01       8.399166108173e+02 
       2.268552025955e-01       8.104760769280e+02 
       2.303849708821e-01       7.809619345170e+02 
       2.339147412574e-01       7.520702659381e+02 
       2.374445136276e-01       7.244237201022e+02 
       2.409742879042e-01       6.985093664474e+02 
       2.445040640041e-01       6.746814312439e+02 
       2.480338418488e-01       6.531399696281e+02 
       2.515636213643e-01       6.339416539374e+02 
       2.550934024809e-01       6.169912805949e+02 
       2.586231851325e-01       6.020595517213e+02 
       2.621529692566e-01       5.888032856859e+02 
       2.656827547943e-01       5.768093366549e+02 
       2.692125416895e-01       5.656398821827e+02 
       2.727423298892e-01       5.548838785782e+02 
       2.762721193431e-01       5.441931260858e+02 
