# Matter power spectrum P(k) at redshift z=0
# for k=1.06258e-05 to 4.93744 h/Mpc,
# number of wavenumbers equal to 541
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.314439904934e-02       1.760193083550e+04 
       2.328939857733e-02       1.753784765408e+04 
       2.343448580806e-02       1.747336916514e+04 
       2.357966248400e-02       1.740851225440e+04 
       2.372493038945e-02       1.734329075812e+04 
       2.387029135151e-02       1.727771717261e+04 
       2.401574724107e-02       1.721180598410e+04 
       2.416129997382e-02       1.714557330068e+04 
       2.430695151128e-02       1.707902945417e+04 
       2.445270386188e-02       1.701219115494e+04 
       2.459855908209e-02       1.694507298894e+04 
       2.474451927753e-02       1.687768417918e+04 
       2.489058660417e-02       1.681003950503e+04 
       2.503676326952e-02       1.674215266610e+04 
       2.518305153391e-02       1.667403695532e+04 
       2.532945371179e-02       1.660570375532e+04 
       2.547597217300e-02       1.653716618476e+04 
       2.562260934423e-02       1.646843591426e+04 
       2.576936771034e-02       1.639952472220e+04 
       2.591624981590e-02       1.633044519023e+04 
       2.606325826667e-02       1.626120585963e+04 
       2.621039573111e-02       1.619182336405e+04 
       2.635766494206e-02       1.612230372663e+04 
       2.650506869833e-02       1.605265887418e+04 
       2.665260986643e-02       1.598290101464e+04 
       2.680029138234e-02       1.591303857129e+04 
       2.694811625331e-02       1.584308083714e+04 
       2.709608755975e-02       1.577303864876e+04 
       2.724420845716e-02       1.570292203706e+04 
       2.739248217811e-02       1.563273868445e+04 
       2.754091203436e-02       1.556249656201e+04 
       2.768950141894e-02       1.549220732986e+04 
       2.783825380839e-02       1.542187585055e+04 
       2.798717276503e-02       1.535151185576e+04 
       2.813626193929e-02       1.528112196978e+04 
       2.828552507219e-02       1.521071691433e+04 
       2.843496599782e-02       1.514030042885e+04 
       2.858458864595e-02       1.506988054106e+04 
       2.873439704477e-02       1.499946475522e+04 
       2.888439532357e-02       1.492905710781e+04 
       2.903458771576e-02       1.485866844992e+04 
       2.918497856172e-02       1.478830034310e+04 
       2.933557231199e-02       1.471795967945e+04 
