# Matter power spectrum P(k) at redshift z=0
# for k=1.06258e-05 to 4.93744 h/Mpc,
# number of wavenumbers equal to 541
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.650506869833e-02       1.567104843129e+04 
       2.665260986643e-02       1.560079303052e+04 
       2.680029138234e-02       1.553045810532e+04 
       2.694811625331e-02       1.546005216733e+04 
       2.709608755975e-02       1.538958579174e+04 
       2.724420845716e-02       1.531906611830e+04 
       2.739248217811e-02       1.524850320239e+04 
       2.754091203436e-02       1.517790362457e+04 
       2.768950141894e-02       1.510727962616e+04 
       2.783825380839e-02       1.503663483458e+04 
       2.798717276503e-02       1.496597795028e+04 
       2.813626193929e-02       1.489531631028e+04 
       2.828552507219e-02       1.482465978490e+04 
       2.843496599782e-02       1.475401115883e+04 
       2.858458864595e-02       1.468337964957e+04 
       2.873439704477e-02       1.461277208569e+04 
       2.888439532357e-02       1.454219134143e+04 
       2.903458771576e-02       1.447164870965e+04 
       2.918497856172e-02       1.440114656537e+04 
       2.933557231199e-02       1.433068969188e+04 
       2.948637353041e-02       1.426028734442e+04 
       2.963738689745e-02       1.418994137190e+04 
       2.978861721366e-02       1.411965885030e+04 
       2.994006940319e-02       1.404944501942e+04 
       3.009174851749e-02       1.397930466095e+04 
       3.024365973913e-02       1.390923744196e+04 
       3.039580838579e-02       1.383925515696e+04 
       3.054819991431e-02       1.376935782512e+04 
       3.070083992499e-02       1.369955536843e+04 
       3.085373416602e-02       1.362984208714e+04 
       3.100688853805e-02       1.356022780395e+04 
       3.116030909896e-02       1.349071360524e+04 
       3.131400206883e-02       1.342131391027e+04 
       3.146797383506e-02       1.335201876047e+04 
       3.162223095773e-02       1.328283830734e+04 
       3.177678017517e-02       1.321377438024e+04 
       3.193162840970e-02       1.314483193302e+04 
       3.208678277367e-02       1.307601437897e+04 
       3.224225057573e-02       1.300732257264e+04 
       3.239803932729e-02       1.293875850668e+04 
       3.255415674933e-02       1.287033354117e+04 
       3.271061077945e-02       1.280204838647e+04 
       3.286740957923e-02       1.273389107588e+04 
       3.302456154187e-02       1.266588289348e+04 
       3.318207530021e-02       1.259801838693e+04 
       3.333995973504e-02       1.253032476668e+04 
       3.349822398379e-02       1.246273974933e+04 
       3.365687744962e-02       1.239533017752e+04 
       3.381592981088e-02       1.232806396815e+04 
       3.397539103097e-02       1.226098317982e+04 
       3.413527136875e-02       1.219405365594e+04 
       3.429558138925e-02       1.212728731823e+04 
       3.445633197505e-02       1.206068681601e+04 
       3.461753433803e-02       1.199425850421e+04 
       3.477920003175e-02       1.192799526859e+04 
       3.494134096444e-02       1.186191174494e+04 
       3.510396941249e-02       1.179600262161e+04 
       3.526709803469e-02       1.173027200974e+04 
       3.543073988712e-02       1.166472233403e+04 
       3.559490843876e-02       1.159935383475e+04 
       3.575961758788e-02       1.153417048150e+04 
       3.592488167924e-02       1.146917318579e+04 
       3.609071552216e-02       1.140436516812e+04 
       3.625713440948e-02       1.133974454248e+04 
       3.642415413751e-02       1.127531633954e+04 
       3.659179102706e-02       1.121108092786e+04 
       3.676006194546e-02       1.114703983652e+04 
       3.692898432985e-02       1.108319121361e+04 
       3.709857621164e-02       1.101954554457e+04 
       3.726885624237e-02       1.095609495060e+04 
       3.743984372084e-02       1.089284311579e+04 
       3.761155862192e-02       1.082978925993e+04 
       3.778402162682e-02       1.076693905865e+04 
       3.795725415511e-02       1.070428861549e+04 
       3.813127839861e-02       1.064184011523e+04 
       3.830611735715e-02       1.057960749922e+04 
       3.848179487650e-02       1.051755027633e+04 
       3.865833568845e-02       1.045570957590e+04 
       3.883576545338e-02       1.039407090670e+04 
       3.901411080529e-02       1.033263541978e+04 
       3.919339939965e-02       1.027140346360e+04 
       3.937365996421e-02       1.021037073568e+04 
       3.955492235296e-02       1.014954032693e+04 
       3.973721760349e-02       1.008891111914e+04 
       3.992057799809e-02       1.002848175101e+04 
       4.010503712876e-02       9.968250745795e+03 
       4.029062996651e-02       9.908217249981e+03 
       4.047739293529e-02       9.848381413623e+03 
       4.066536399090e-02       9.788739009343e+03 
       4.085458270527e-02       9.729290415640e+03 
       4.104509035659e-02       9.670033036516e+03 
       4.123693002583e-02       9.610965410355e+03 
       4.143014670000e-02       9.552084523185e+03 
       4.162478738298e-02       9.493387180178e+03 
       4.182090121440e-02       9.434870864749e+03 
       4.201853959734e-02       9.376540301548e+03 
       4.221775633566e-02       9.318382940410e+03 
       4.241860778184e-02       9.260401539272e+03 
       4.262115299620e-02       9.202584559138e+03 
       4.282545391873e-02       9.144939270084e+03 
       4.303157555460e-02       9.087456357354e+03 
       4.323958617473e-02       9.030134249814e+03 
       4.344955753282e-02       8.972966315178e+03 
       4.366156510068e-02       8.915947521409e+03 
       4.387568832338e-02       8.859073111522e+03 
       4.409201089662e-02       8.802344050409e+03 
       4.431062106831e-02       8.745752531308e+03 
       4.453161196721e-02       8.689297460563e+03 
       4.475508196139e-02       8.632970337207e+03 
       4.498113504973e-02       8.576744599676e+03 
       4.520988129040e-02       8.520644138492e+03 
       4.544143727020e-02       8.464655708125e+03 
       4.567592661979e-02       8.408765211625e+03 
       4.591348057996e-02       8.352975399064e+03 
       4.615423862525e-02       8.297270857198e+03 
       4.639834915182e-02       8.241640102852e+03 
       4.664597023767e-02       8.186095375073e+03 
