# l   Dl_TT   Dl_TE   Dl_EE
5.700000000000000000e+01 1.979576568667648928e+02 -1.263635538773485167e-01 2.483811492861259448e-02
5.800000000000000000e+01 2.005783693968330681e+02 -1.632968181177237021e-01 2.618405327581228154e-02
5.900000000000000000e+01 2.032253816987937114e+02 -2.019987145791047323e-01 2.756895691822160155e-02
6.000000000000000000e+01 2.058993036428996959e+02 -2.424757280864581477e-01 2.899264534456930803e-02
6.100000000000000000e+01 2.086003016225527062e+02 -2.847311150900471710e-01 3.045481860841892097e-02
6.200000000000000000e+01 2.113298142616716859e+02 -3.287581477336968261e-01 3.195481610989996807e-02
6.300000000000000000e+01 2.140891010321800820e+02 -3.745453983003038112e-01 3.349180226486333373e-02
6.400000000000000000e+01 2.168786784783031294e+02 -4.220786492280619306e-01 3.506483253480966594e-02
6.500000000000000000e+01 2.196982685217179778e+02 -4.713408563405599438e-01 3.667285043418685997e-02
6.600000000000000000e+01 2.225467467667037624e+02 -5.223121120768803305e-01 3.831468453768757665e-02
6.700000000000000000e+01 2.254220908052919299e+02 -5.749696087216980001e-01 3.998904548754673993e-02
6.800000000000000000e+01 2.283223176284421641e+02 -6.292886880758742363e-01 4.169463725761939771e-02
6.900000000000000000e+01 2.312486319801023740e+02 -6.852463196411010538e-01 4.343052381496782799e-02
7.000000000000000000e+01 2.342028260068040026e+02 -7.428182643901537485e-01 4.519583171870304728e-02
7.100000000000000000e+01 2.371863206714813543e+02 -8.019780418616505591e-01 4.698964236754895468e-02
7.200000000000000000e+01 2.402001393554505171e+02 -8.626969211763521050e-01 4.881099192930810765e-02
7.300000000000000000e+01 2.432448814603890526e+02 -9.249439120534632686e-01 5.065887127032746989e-02
7.400000000000000000e+01 2.463206960103154017e+02 -9.886857558269317447e-01 5.253222588496427037e-02
7.500000000000000000e+01 2.494272552535678926e+02 -1.053886916461750811e+00 5.442995582505175817e-02
7.600000000000000000e+01 2.525641447343938069e+02 -1.120509924681803104e+00 5.635087101423003064e-02
7.700000000000000000e+01 2.557321739815689341e+02 -1.188516502660073471e+00 5.829354793934669876e-02
7.800000000000000000e+01 2.589322579807417242e+02 -1.257866629052415641e+00 6.025644657648157598e-02
7.900000000000000000e+01 2.621650043393012197e+02 -1.328518202365920997e+00 6.223795171825638461e-02
8.000000000000000000e+01 2.654306954284027711e+02 -1.400427039216058045e+00 6.423637198843107354e-02
8.100000000000000000e+01 2.687292705249943765e+02 -1.473546872583810563e+00 6.624993885650014291e-02
8.200000000000000000e+01 2.720603079538425959e+02 -1.547829350072816634e+00 6.827680565228903820e-02
8.300000000000000000e+01 2.754230072295584932e+02 -1.623224032166507902e+00 7.031504658055034995e-02
8.400000000000000000e+01 2.788165508278974016e+02 -1.699679097028242047e+00 7.236272192843012929e-02
