# l   Dl_TT   Dl_TE   Dl_EE
5.700000000000000000e+01 2.059760651975935843e+02 -2.490539005400692618e-01 2.934063587981341689e-02
5.800000000000000000e+01 2.087828042962958932e+02 -2.943122929724597547e-01 3.089683390030197041e-02
5.900000000000000000e+01 2.116212426391720385e+02 -3.415053738100716219e-01 3.249406037678366499e-02
6.000000000000000000e+01 2.144922716855798797e+02 -3.905744123409704005e-01 3.413101087531438677e-02
6.100000000000000000e+01 2.173962831416839379e+02 -4.414639730343577484e-01 3.580635887869062367e-02
6.200000000000000000e+01 2.203347406860876276e+02 -4.941614310264681453e-01 3.751921510492773476e-02
6.300000000000000000e+01 2.233088374312623330e+02 -5.486659006448983966e-01 3.926876301772858763e-02
6.400000000000000000e+01 2.263189701350064240e+02 -6.049769465946797098e-01 4.105412521691687022e-02
6.500000000000000000e+01 2.293646846138439059e+02 -6.630947082184299735e-01 4.287436302885004602e-02
6.600000000000000000e+01 2.324446211564237217e+02 -7.230200237565085342e-01 4.472847609683232306e-02
6.700000000000000000e+01 2.355564599369189125e+02 -7.847545546071693634e-01 4.661540197152761605e-02
6.800000000000000000e+01 2.386979265358403666e+02 -8.482933345658315583e-01 4.853397250501866045e-02
6.900000000000000000e+01 2.418701671127207646e+02 -9.136003866647323113e-01 5.048277368831050743e-02
7.000000000000000000e+01 2.450749622128103624e+02 -9.806283661889337866e-01 5.246025654692634821e-02
7.100000000000000000e+01 2.483137001894064610e+02 -1.049325630320073532e+00 5.446477633718450201e-02
7.200000000000000000e+01 2.515873497299738801e+02 -1.119636168661968911e+00 5.649459103184524544e-02
7.300000000000000000e+01 2.548964323822654876e+02 -1.191499533766221086e+00 5.854785980575782228e-02
7.400000000000000000e+01 2.582409950804430991e+02 -1.264850771657818784e+00 6.062264152150715485e-02
7.500000000000000000e+01 2.616205826711978375e+02 -1.339620352360742839e+00 6.271689321506083992e-02
7.600000000000000000e+01 2.650346427755034142e+02 -1.415738848643144365e+00 6.482853695560074347e-02
7.700000000000000000e+01 2.684838863396605575e+02 -1.493152110826842849e+00 6.695567784828947155e-02
7.800000000000000000e+01 2.719691264254971088e+02 -1.571808745813002561e+00 6.909642321878259330e-02
7.900000000000000000e+01 2.754908495774854487e+02 -1.651655641792239670e+00 7.124881765529678113e-02
8.000000000000000000e+01 2.790491972142557984e+02 -1.732637996136316305e+00 7.341084289632458793e-02
8.100000000000000000e+01 2.826439470201088966e+02 -1.814699343289830846e+00 7.558041771834951572e-02
8.200000000000000000e+01 2.862744943365293580e+02 -1.897781582661911770e+00 7.775539782356076512e-02
8.300000000000000000e+01 2.899398335536986338e+02 -1.981825006517910825e+00 7.993357572756831786e-02
8.400000000000000000e+01 2.936389451452200205e+02 -2.066767556792969973e+00 8.211270876475088021e-02
8.500000000000000000e+01 2.973720712546446521e+02 -2.152542392877322186e+00 8.429060868461001055e-02
8.600000000000000000e+01 3.011396184396397189e+02 -2.239079969884630650e+00 8.646506677178433797e-02
8.700000000000000000e+01 3.049417592132886057e+02 -2.326308788592464261e+00 8.863382740400306548e-02
8.800000000000000000e+01 3.087784202531369715e+02 -2.414155410374696498e+00 9.079458841236634492e-02
8.900000000000000000e+01 3.126492706102386023e+02 -2.502544472133898523e+00 9.294500144162536059e-02
9.000000000000000000e+01 3.165537099182016050e+02 -2.591398701233740276e+00 9.508267231046250989e-02
9.100000000000000000e+01 3.204908566022337482e+02 -2.680638930431379574e+00 9.720516137177155624e-02
9.200000000000000000e+01 3.244595360881892248e+02 -2.770184112809864985e+00 9.930998387293782370e-02
