# k [1/Mpc]   d_b d_idm_drmd  d_ncdm[0] 
1.740895407317079703e-03 2.660888481009349960e+01 2.661199053338527065e+01 2.661199052861093151e+01 1.723091323798206886e+01
1.845342665571796277e-03 2.981551752974213088e+01 2.981900895490504766e+01 2.981900894887838049e+01 1.882800584746557604e+01
1.952552103061149001e-03 3.328487223624383518e+01 3.328879353211840453e+01 3.328879352456536367e+01 2.049648348657049368e+01
2.062287920482404596e-03 3.702056121983074632e+01 3.702496685542135424e+01 3.702496684602316179e+01 2.222792014095566060e+01
2.174325891329250814e-03 4.102504454523862876e+01 4.102999948980676237e+01 4.102999947819547089e+01 2.401355190998295797e+01
2.288455900238823594e-03 4.529977340482333403e+01 4.530535249641366136e+01 4.530535248216814637e+01 2.584486809244693362e+01
2.404483342060655636e-03 4.984533072528667219e+01 4.985161697608264575e+01 4.985161695872412224e+01 2.771397423329470655e+01
2.522229632075637887e-03 5.466156118492554583e+01 5.466864331901415142e+01 5.466864329800166900e+01 2.961369992258759254e+01
2.641532062460476282e-03 5.974769037326733212e+01 5.975566034758641365e+01 5.975566032231265723e+01 3.153754348295045062e+01
2.762243207347661340e-03 6.510242518400386302e+01 6.511137581317123590e+01 6.511137578295806350e+01 3.347960115217632904e+01
2.884230039853345664e-03 7.072404648370581981e+01 7.073406996468162333e+01 7.073406992877589516e+01 3.543462389490565556e+01
2.962962962962962816e-03 7.446329295027356920e+01 7.447405141278019869e+01 7.447405137279683629e+01 3.669133533208822939e+01
3.007372886280253090e-03 7.661048562476933910e+01 7.662167315693869796e+01 7.662167311450771479e+01 3.739823478118964317e+01
3.131564309079152338e-03 8.275938517446866172e+01 8.277182789491860149e+01 8.277182784504555002e+01 3.936721403531509367e+01
3.256707982515841433e-03 8.916815720555705127e+01 8.918194816802513003e+01 8.918194810970545916e+01 4.133966250350563598e+01
3.382717603408286807e-03 9.583402576258909278e+01 9.584926342666184951e+01 9.584926335879838177e+01 4.331482822676220223e+01
3.509515863126496434e-03 1.027540621312341358e+02 1.027708532994023614e+02 1.027708532208010723e+02 4.529250136176824526e+01
3.637033495363205769e-03 1.099252245489021504e+02 1.099436874992007205e+02 1.099436874085666460e+02 4.727206892954136208e+01
3.765208406034812466e-03 1.173443746579016533e+02 1.173646418314680915e+02 1.173646417274007661e+02 4.925149751562257450e+01
3.893984886203317834e-03 1.250083094137640956e+02 1.250305281797523804e+02 1.250305280607413465e+02 5.122668650852667582e+01
4.023312905409058733e-03 1.329137740224951756e+02 1.329381064557684908e+02 1.329381063201901156e+02 5.319151827942179978e+01
4.153147480707731695e-03 1.410574767827819471e+02 1.410840986080961272e+02 1.410840984542086289e+02 5.513876552740043735e+01
4.283448115584609188e-03 1.494361098262027099e+02 1.494652072272028533e+02 1.494652070531419668e+02 5.706165399569585617e+01
4.414178302456537618e-03 1.580463420645919257e+02 1.580781102961703652e+02 1.580781100999449507e+02 5.895556954998868804e+01
4.545305082438852104e-03 1.668848624561859708e+02 1.669195013696142951e+02 1.669195011491031551e+02 6.081928725672877079e+01
4.676798656287624312e-03 1.759483373426366768e+02 1.759860517449682789e+02 1.759860514979157244e+02 6.265514860578390000e+01
4.808632040815520418e-03 1.852334654084027079e+02 1.852744627291287429e+02 1.852744624531398188e+02 6.446807802883830618e+01
4.940780765546003844e-03 1.947369657696765728e+02 1.947814573278621992e+02 1.947814570203994720e+02 6.626362904773546347e+01
5.073222604865760405e-03 2.044555355711775348e+02 2.045037397309472169e+02 2.045037393893257729e+02 6.804587234760575143e+01
5.205937341427262222e-03 2.143859410112694093e+02 2.144380833606043950e+02 2.144380829819880034e+02 6.981577568033999626e+01
5.338906557022969450e-03 2.245249331733572546e+02 2.245812521292108670e+02 2.245812517106095640e+02 7.157075682227016955e+01
5.472113447589238913e-03 2.348692901067111052e+02 2.349300383791500053e+02 2.349300379174132161e+02 7.330554502293729513e+01
5.605542659396289124e-03 2.454158253686974263e+02 2.454812716818532294e+02 2.454812711736692563e+02 7.501396948163592526e+01
5.739180143839252117e-03 2.561613708503147677e+02 2.562318015670621776e+02 2.562318010089508675e+02 7.669095654623694713e+01
5.873013028565152692e-03 2.671027954512380234e+02 2.671785142689865324e+02 2.671785136572977990e+02 7.833399007373877510e+01
6.007029502953803272e-03 2.782369969696260910e+02 2.783183228823095874e+02 2.783183222132184369e+02 7.994353422298007672e+01
6.141218716219945702e-03 2.895608621422783244e+02 2.896481286201715761e+02 2.896481278896742992e+02 8.152236600510752851e+01
6.275570686622596733e-03 3.010714012979046288e+02 3.011649527402058766e+02 3.011649519441165808e+02 8.307426913040185923e+01
6.410076220458818530e-03 3.127655696825646601e+02 3.128657601868749225e+02 3.128657593208224057e+02 8.460253654989109862e+01
6.544726839685989853e-03 3.246404012566813435e+02 3.247475932307593212e+02 3.247475922901822969e+02 8.610902648478776200e+01
6.679514717162037332e-03 3.366929223188288915e+02 3.368074870758737234e+02 3.368074860560175239e+02 8.759387265818908475e+01
6.814432618619705416e-03 3.489202724140613441e+02 3.490425866243811583e+02 3.490425855202927892e+02 8.905592487049970885e+01
6.949473850601062090e-03 3.613195696712729159e+02 3.614500214853881630e+02 3.614500202919151661e+02 9.049346021386992334e+01
7.084632213674277486e-03 3.738878820131020007e+02 3.740268717590205370e+02 3.740268704708050791e+02 9.190489936652308245e+01
7.219901960338073743e-03 3.866224006516326313e+02 3.867703418515836233e+02 3.867703404630605633e+02 9.328924132374490341e+01
7.355277757091821002e-03 3.995204358731932075e+02 3.996777605456050537e+02 3.996777590509970537e+02 9.464612477006357949e+01
7.490754650212456435e-03 4.125790645063142392e+02 4.127462210291013207e+02 4.127462194224169707e+02 9.597555297563890520e+01
7.626328034834435610e-03 4.257955951075164194e+02 4.259730518898278433e+02 4.259730501648562608e+02 9.727779879688482367e+01
7.761993626976996380e-03 4.391673370363196796e+02 4.393555800452475637e+02 4.393555781955562338e+02 9.855329073038176091e+01
7.897747438204897816e-03 4.526915754398190188e+02 4.528911088266660840e+02 4.528911068455974487e+02 9.980270568444294099e+01
