# l   cl_TT   cl_TE   cl_EE
5.700000000000000000e+01 1.971047385062186947e+02 -1.269449696781919656e-01 2.496064317025061680e-02
5.800000000000000000e+01 1.997013270010579333e+02 -1.640189008553515626e-01 2.631183776216344805e-02
5.900000000000000000e+01 2.023239399897832698e+02 -2.028667055129971253e-01 2.770212631507449480e-02
6.000000000000000000e+01 2.049736081880510881e+02 -2.434915132734203624e-01 2.913131965383323682e-02
6.100000000000000000e+01 2.076508781459127420e+02 -2.858932963859266985e-01 3.059910399250473714e-02
6.200000000000000000e+01 2.103572136271536692e+02 -3.300637660190965383e-01 3.210478689980521272e-02
6.300000000000000000e+01 2.130937918189022184e+02 -3.759903458073616811e-01 3.364749280572319062e-02
6.400000000000000000e+01 2.158610296646260451e+02 -4.236576014114448729e-01 3.522623251998342059e-02
6.500000000000000000e+01 2.186585314221610759e+02 -4.730472023944897741e-01 3.683990006503541637e-02
6.600000000000000000e+01 2.214850362217404154e+02 -5.241378840981911758e-01 3.848726950904205607e-02
6.700000000000000000e+01 2.243383656240231119e+02 -5.769054095189246611e-01 4.016699179886811660e-02
6.800000000000000000e+01 2.272163941786357952e+02 -6.313239435786470732e-01 4.187771645654114056e-02
6.900000000000000000e+01 2.301203066897440124e+02 -6.873705845135186232e-01 4.361849238229745934e-02
7.000000000000000000e+01 2.330519097817102079e+02 -7.450216863952215940e-01 4.538844294857239531e-02
7.100000000000000000e+01 2.360126414886216821e+02 -8.042515260108630271e-01 4.718664834819396442e-02
7.200000000000000000e+01 2.390035449760149220e+02 -8.650323008617325504e-01 4.901214562081057657e-02
7.300000000000000000e+01 2.420252422626009547e+02 -9.273341271620615389e-01 5.086392867931883999e-02
7.400000000000000000e+01 2.450779079419897073e+02 -9.911250378377801651e-01 5.274094833629131701e-02
7.500000000000000000e+01 2.481612429044150190e+02 -1.056370980525277670e+00 5.464211233040421750e-02
7.600000000000000000e+01 2.512748603551374345e+02 -1.123035763091844608e+00 5.656623558937655394e-02
7.700000000000000000e+01 2.544195832255038567e+02 -1.191080883151423242e+00 5.851188048940776654e-02
7.800000000000000000e+01 2.575963367079293675e+02 -1.260465663679942061e+00 6.047748737895645987e-02
7.900000000000000000e+01 2.608057394125220867e+02 -1.331147299708069554e+00 6.246142078010726711e-02
8.000000000000000000e+01 2.640480855432854241e+02 -1.403080855243859615e+00 6.446196839455788086e-02
8.100000000000000000e+01 2.673233270743203320e+02 -1.476219260195401839e+00 6.647734010960631990e-02
8.200000000000000000e+01 2.706310559260274431e+02 -1.550513307293467813e+00 6.850566700413784904e-02
8.300000000000000000e+01 2.739704861413089247e+02 -1.625911649014160298e+00 7.054500035461229446e-02
8.400000000000000000e+01 2.773408118026509896e+02 -1.702361571878731272e+00 7.259337815896919899e-02
8.500000000000000000e+01 2.807423880006583090e+02 -1.779811473579576919e+00 7.464903955692561710e-02
8.600000000000000000e+01 2.841757138763124431e+02 -1.858208792776428364e+00 7.671024429882079831e-02
8.700000000000000000e+01 2.876410629479422028e+02 -1.937499278071690201e+00 7.877520852684147257e-02
8.800000000000000000e+01 2.911384716023972601e+02 -2.017626997998255067e+00 8.084210491576376834e-02
8.900000000000000000e+01 2.946677275862238048e+02 -2.098534351007313337e+00 8.290906281369518627e-02
9.000000000000000000e+01 2.982283584968391210e+02 -2.180162075456161919e+00 8.497416838281683649e-02
9.100000000000000000e+01 3.018196202737065050e+02 -2.262449259596015505e+00 8.703546474012527345e-02
9.200000000000000000e+01 3.054404856895103535e+02 -2.345333351559818258e+00 8.909095209817469163e-02
9.300000000000000000e+01 3.090899704606073328e+02 -2.428750770913575163e+00 9.113862013916525229e-02
9.400000000000000000e+01 3.127681926810680011e+02 -2.512638826829519889e+00 9.317655040124647736e-02
9.500000000000000000e+01 3.164754521903365116e+02 -2.596934108215172898e+00 9.520282962299125851e-02
9.600000000000000000e+01 3.202119003691099124e+02 -2.681571925856008232e+00 9.721551945751069623e-02
9.700000000000000000e+01 3.239775332649580264e+02 -2.766486330660834270e+00 9.921265705565800175e-02
9.800000000000000000e+01 3.277721847179426504e+02 -2.851610131907167833e+00 1.011922556492324959e-01
9.900000000000000000e+01 3.315955194862366966e+02 -2.936874915486603843e+00 1.031523051341834279e-01
1.000000000000000000e+02 3.354470263717436183e+02 -3.022211062150192973e+00 1.050907726538138215e-01
1.010000000000000000e+02 3.393260113457167790e+02 -3.107547765753819746e+00 1.070056031819845294e-01
1.020000000000000000e+02 3.432315906743788219e+02 -3.192813051503565092e+00 1.088947201063179965e-01
1.030000000000000000e+02 3.471626840445405264e+02 -3.277933794201096429e+00 1.107560258114021617e-01
1.040000000000000000e+02 3.511182350028846031e+02 -3.362836479432028458e+00 1.125874561540059354e-01
1.050000000000000000e+02 3.550979209939075076e+02 -3.447449564939229827e+00 1.143871510133959990e-01
1.060000000000000000e+02 3.591015268684597004e+02 -3.531701473736201802e+00 1.161533079743929248e-01
1.070000000000000000e+02 3.631287218115893438e+02 -3.615519905740184559e+00 1.178841316539424172e-01
1.080000000000000000e+02 3.671790549661136538e+02 -3.698831864181736151e+00 1.195778348765390020e-01
1.090000000000000000e+02 3.712519510561915013e+02 -3.781563682014319916e+00 1.212326398496499508e-01
1.100000000000000000e+02 3.753467060108935698e+02 -3.863641048323886551e+00 1.228467793391389840e-01
