# l   cl_TT   cl_TE   cl_EE
5.700000000000000000e+01 2.107269188378205911e+02 -1.305861634284992967e-01 2.014415887880707801e-02
5.800000000000000000e+01 2.137980584093577932e+02 -1.644281685659476078e-01 2.125755397775505942e-02
5.900000000000000000e+01 2.168979787756459530e+02 -1.999345086493904966e-01 2.240564272306138152e-02
6.000000000000000000e+01 2.200238270768246878e+02 -2.371183188687982779e-01 2.358858011912243202e-02
6.100000000000000000e+01 2.231726554100480939e+02 -2.759879782517857816e-01 2.480640611707943602e-02
6.200000000000000000e+01 2.263455858796823179e+02 -3.165338757941024150e-01 2.605872940596539247e-02
6.300000000000000000e+01 2.295444338704444363e+02 -3.587387168086040856e-01 2.734497236853756022e-02
6.400000000000000000e+01 2.327704449746945841e+02 -4.025812319059692279e-01 2.866445876541402413e-02
6.500000000000000000e+01 2.360242513355856318e+02 -4.480360798014196289e-01 3.001641068553955946e-02
6.600000000000000000e+01 2.393058279902133449e+02 -4.950737501214428349e-01 3.139994549665144769e-02
6.700000000000000000e+01 2.426144492127664591e+02 -5.436604662105135599e-01 3.281407279574535818e-02
6.800000000000000000e+01 2.459492565170965008e+02 -5.937638111298139121e-01 3.425781820077306722e-02
6.900000000000000000e+01 2.493111938979939453e+02 -6.453711466733640378e-01 3.573063066979988156e-02
7.000000000000000000e+01 2.527013880953961120e+02 -6.984747690751558213e-01 3.723205261632681062e-02
7.100000000000000000e+01 2.561205441193721981e+02 -7.530665643367648876e-01 3.876160056159363987e-02
7.200000000000000000e+01 2.595689172367369792e+02 -8.091380574072686294e-01 4.031876532906603777e-02
7.300000000000000000e+01 2.630462849576639996e+02 -8.666804613631655663e-01 4.190301223892270444e-02
7.400000000000000000e+01 2.665519190222985912e+02 -9.256847265882938158e-01 4.351378130254245774e-02
7.500000000000000000e+01 2.700845573873720014e+02 -9.861415899537486762e-01 4.515048741699138196e-02
7.600000000000000000e+01 2.736429676768279364e+02 -1.048037914661976266e+00 4.681245415889046663e-02
7.700000000000000000e+01 2.772278180792188778e+02 -1.111344830506408643e+00 4.849870079796640004e-02
7.800000000000000000e+01 2.808400983078731201e+02 -1.176027510233130124e+00 5.020811661729177033e-02
7.900000000000000000e+01 2.844805427752052651e+02 -1.242048660568628726e+00 5.193952272010367993e-02
8.000000000000000000e+01 2.881496147077784826e+02 -1.309368495336783234e+00 5.369167086269233807e-02
8.100000000000000000e+01 2.918474902613662039e+02 -1.377944708575843391e+00 5.546324228728975042e-02
8.200000000000000000e+01 2.955740426360140418e+02 -1.447732447655411869e+00 5.725284655495829073e-02
8.300000000000000000e+01 2.993288261911025074e+02 -1.518684286393430893e+00 5.905902037847941127e-02
8.400000000000000000e+01 3.031113429496084564e+02 -1.590752465713517028e+00 6.088029266272976248e-02
8.500000000000000000e+01 3.069219276691889036e+02 -1.663896101295461172e+00 6.271539457098246340e-02
8.600000000000000000e+01 3.107609810550909515e+02 -1.738075127067393755e+00 6.456308230522453395e-02
8.700000000000000000e+01 3.146286894418532256e+02 -1.813248144964950903e+00 6.642207394138985310e-02
8.800000000000000000e+01 3.185250136544051998e+02 -1.889372436158180513e+00 6.829104937497866568e-02
8.900000000000000000e+01 3.224496778691661234e+02 -1.966403972278444767e+00 7.016865026667706839e-02
9.000000000000000000e+01 3.264021584751436649e+02 -2.044297426645325988e+00 7.205347998797656528e-02
9.100000000000000000e+01 3.303816729350332366e+02 -2.123006185493532705e+00 7.394410356679358143e-02
9.200000000000000000e+01 3.343871686463168089e+02 -2.202482359199801731e+00 7.583904763308894903e-02
9.300000000000000000e+01 3.384176453817306651e+02 -2.282676858118285246e+00 7.773681597290515999e-02
9.400000000000000000e+01 3.424732022784688752e+02 -2.363539608748327137e+00 7.963593898455818831e-02
9.500000000000000000e+01 3.465541284542198923e+02 -2.445019390987039909e+00 8.153493159472680052e-02
9.600000000000000000e+01 3.506605769864361832e+02 -2.527063788369113606e+00 8.343227847052563095e-02
9.700000000000000000e+01 3.547925583524228728e+02 -2.609619200180592014e+00 8.532643417937894881e-02
9.800000000000000000e+01 3.589499338694261041e+02 -2.692630853572651084e+00 8.721582334889434185e-02
9.900000000000000000e+01 3.631324091347210583e+02 -2.776042815675366704e+00 8.909884082673637240e-02
1.000000000000000000e+02 3.673395274657001437e+02 -2.859798005711494007e+00 9.097385184050038598e-02
1.010000000000000000e+02 3.715706633399614702e+02 -2.943838207110241800e+00 9.283919215758609789e-02
1.020000000000000000e+02 3.758250158353969823e+02 -3.028104079621048328e+00 9.469316824507141572e-02
1.030000000000000000e+02 3.801016020702809328e+02 -3.112535171427353031e+00 9.653405742958606761e-02
1.040000000000000000e+02 3.843994776486210299e+02 -3.197070520291662721e+00 9.836015033962976217e-02
1.050000000000000000e+02 3.887184460399225827e+02 -3.281650523383390805e+00 1.001698844177704995e-01
1.060000000000000000e+02 3.930584332428427956e+02 -3.366215343796902904e+00 1.019617288260091514e-01
